BFin(AMPB) Examination Time Table for the First Semester of 2024-2025
(As at Nov 13, 2024)
Date 	Time 		Course Code 	Description 	Venue
Dec 7 SAT 	2:30 pm - 4:30 pm 		GEOG1017 	Human geography in a globalizing world 	3/F, Multi-purpose Zone, Main Library
Dec 7 SAT 	6:30 pm - 8:30 pm 		ECON2280 	Introductory econometrics 	Rm 217 Main Bldg.
				Introductory econometrics 	Rm 218 Main Bldg.
				Introductory econometrics 	Rm 256 Main Bldg.
Dec 9 MON 	9:30 am - 11:30 am 		FINA2320 	Investments and portfolio analysis 	3/F, Multi-purpose Zone, Main Library
				Investments and portfolio analysis 	CPD-LG.07-10, Centennial Campus
Dec 9 MON 	2:30 pm - 4:30 pm 		ECON1210 	Introductory microeconomics 	CPD-1.21 & CPD-1.24, Centennial Campus
				Introductory microeconomics 	CPD-2.16 & CPD-2.19, Centennial Campus
				Introductory microeconomics 	MWT1-MWT3 & MWT6-MWT7, Meng Wah Complex
				Introductory microeconomics 	Rm 1 Library Ext.
				Introductory microeconomics 	Rm 101 & 102, K.K. Leung Bldg
				Introductory microeconomics 	Rm 201 & 202, K.K. Leung Bldg
Dec 9 MON 	2:30 pm - 4:30 pm 		FINA3326 	Equity valuation and investment management 	Rm 217 Main Bldg.
				Equity valuation and investment management 	Rm 218 Main Bldg.
Dec 10 TUE 	9:30 am - 11:30 am 		ACCT1101 	Introduction to financial accounting 	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting 	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting 	Loke Yew Hall
				Introduction to financial accounting 	Rm 103 Main Bldg.
				Introduction to financial accounting 	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introduction to financial accounting 	Rm 167 Main Bldg.
				Introduction to financial accounting 	Rm 217 Main Bldg.
				Introduction to financial accounting 	Rm 218 Main Bldg.
				Introduction to financial accounting 	Rm 237 Main Bldg.
Dec 10 TUE 	9:30 am - 11:00 am 		ECON2210 	Intermediate microeconomics 	3/F, Multi-purpose Zone, Main Library
Dec 10 TUE 	9:30 am - 11:30 am 		FINA3353 	Regulatory, Operational and Valuation Issues in Finance Institutions 	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 10 TUE 	2:30 pm - 4:30 pm 		FINA2330 	Financial markets and institutions 	Rm 6 Library Ext.
				Financial markets and institutions 	Rm 7 Library Ext.
				Financial markets and institutions 	Rm 8 Library Ext.
				Financial markets and institutions 	Rm 9 Library Ext.
Dec 10 TUE 	6:30 pm - 9:00 pm 		MATH3904 	Introduction to optimization 	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 11 WED 	9:30 am - 11:30 am 		BUSI3801 	Business law 	Rm 2 Library Ext.
				Business law 	Rm 3 Library Ext.
				Business law 	Rm 4 Library Ext.
Dec 11 WED 	9:30 am - 12:00 noon 		MATH1013 	University mathematics II 	CPD-LG.07-10, Centennial Campus
				University mathematics II 	Loke Yew Hall
				University mathematics II 	Rm 103 Main Bldg.
				University mathematics II 	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 11 WED 	2:30 pm - 4:30 pm 		SOCI1001 	Introduction to sociology 	3/F, Multi-purpose Zone, Main Library
				Introduction to sociology 	Loke Yew Hall
				Introduction to sociology 	Rm 103 Main Bldg.
				Introduction to sociology 	Rm 167 Main Bldg.
Dec 12 THU 	9:30 am - 11:30 am 		COMP1117 	Computer programming 	Loke Yew Hall
				Computer programming 	Rm 103 Main Bldg.
				Computer programming 	Rm 167 Main Bldg.
Dec 12 THU 	9:30 am - 11:30 am 		ECON3222 	Monetary economics 	Rm 5 Library Ext.
Dec 12 THU 	2:30 pm - 5:00 pm 		BUSI3803 	Company law 	Rm 4 Library Ext.
				Company law 	Rm 5 Library Ext.
