BEng Examination Time Table for the First Semester of 2024-2025
(As at Nov 13, 2024)
Date 	Time 		Course Code 	Description 	Venue
Dec 7 SAT 	9:30 am - 11:30 am 		ECON2232 	Economics of human resources 	Rm 8 Library Ext.
				Economics of human resources 	Rm 9 Library Ext.
Dec 7 SAT 	2:30 pm - 5:30 pm 		ELEC2843 	Multivariable calculus and elementary partial differential equations 	Rm 237 Main Bldg.
Dec 7 SAT 	2:30 pm - 4:30 pm 		GEOG1017 	Human geography in a globalizing world 	3/F, Multi-purpose Zone, Main Library
Dec 7 SAT 	6:30 pm - 8:30 pm 		ECON2280 	Introductory econometrics 	Rm 217 Main Bldg.
				Introductory econometrics 	Rm 218 Main Bldg.
				Introductory econometrics 	Rm 256 Main Bldg.
Dec 7 SAT 	6:30 pm - 9:30 pm 		ELEC4542 	Introduction to deep learning for computer vision 	Rm 237 Main Bldg.
Dec 9 MON 	9:30 am - 11:30 am 		BIOC2600 	Basic biochemistry 	Loke Yew Hall
Dec 9 MON 	9:30 am - 12:30 pm 		CIVL3107 	Environmental Impact Assessment of Civil Engineering Projects 	Rm 2 Library Ext.
Dec 9 MON 	9:30 am - 12:30 pm 		ELEC3342 	Digital system design 	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 MON 	9:30 am - 11:30 am 		FINA2320 	Investments and portfolio analysis 	3/F, Multi-purpose Zone, Main Library
				Investments and portfolio analysis 	CPD-LG.07-10, Centennial Campus
Dec 9 MON 	9:30 am - 12:30 pm 		MECH2419 	Properties of materials 	Rm 217 Main Bldg.
				Properties of materials 	Rm 218 Main Bldg.
Dec 9 MON 	9:30 am - 11:30 am 		STAT3603 	Stochastic processes 	Loke Yew Hall
Dec 9 MON 	2:30 pm - 5:30 pm 		CIVL2112 	Structural Analysis 	Rm 6 Library Ext.
				Structural Analysis 	Rm 7 Library Ext.
Dec 9 MON 	2:30 pm - 4:30 pm 		COMP3330 	Interactive Mobile Application Design and Programming 	Loke Yew Hall
Dec 9 MON 	2:30 pm - 4:30 pm 		ECON1210 	Introductory microeconomics 	CPD-1.21 & CPD-1.24, Centennial Campus
				Introductory microeconomics 	CPD-2.16 & CPD-2.19, Centennial Campus
				Introductory microeconomics 	MWT1-MWT3 & MWT6-MWT7, Meng Wah Complex
				Introductory microeconomics 	Rm 1 Library Ext.
				Introductory microeconomics 	Rm 101 & 102, K.K. Leung Bldg
				Introductory microeconomics 	Rm 201 & 202, K.K. Leung Bldg
Dec 9 MON 	2:30 pm - 5:30 pm 		ELEC3141 	Power transmission and distribution 	Rm 4 Library Ext.
Dec 9 MON 	2:30 pm - 5:30 pm 		ELEC4146 	Building services - electrical installations 	Rm 5 Library Ext.
Dec 9 MON 	2:30 pm - 5:30 pm 		ENGG1200 	Engineering Physics 	Rm 3 Library Ext.
Dec 9 MON 	2:30 pm - 4:30 pm 		FINA3326 	Equity valuation and investment management 	Rm 217 Main Bldg.
				Equity valuation and investment management 	Rm 218 Main Bldg.
Dec 9 MON 	2:30 pm - 4:30 pm 		IMSE4122 	Global logistics systems 	Loke Yew Hall
Dec 9 MON 	2:30 pm - 4:30 pm 		MECH3431 	Utility services in buildings 	Rm 2 Library Ext.
Dec 10 TUE 	9:30 am - 11:30 am 		ACCT1101 	Introduction to financial accounting 	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting 	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting 	Loke Yew Hall
				Introduction to financial accounting 	Rm 103 Main Bldg.
