BA(ArchStud) Examination                                                         Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 8 MON	9:30 am - 12:30 pm		URBS1003	Theories and Global Trends in Urban Development	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 8 MON	2:30 pm - 4:00 pm		ECON1210	Introductory microeconomics	CPD-LG.07-10, Centennial Campus
				Introductory microeconomics	CPD-LG.60, Centennial Campus
				Introductory microeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 103 Main Bldg.
				Introductory microeconomics	Rm 167 Main Bldg.
				Introductory microeconomics	Rm 2 Library Ext.
				Introductory microeconomics	Rm 201 Main Bldg.
				Introductory microeconomics	Rm 237 Main Bldg.
				Introductory microeconomics	Rm 256 Main Bldg.
				Introductory microeconomics	Rm 3 Library Ext.
				Introductory microeconomics	Rm 4 Library Ext.
				Introductory microeconomics	Rm 5 Library Ext.
Dec 9 TUE	9:30 am - 11:30 am		SOCI3067	Crime and the media	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 12 FRI	2:30 pm - 4:30 pm		GEOG2153	Smartphones, K-pop, and Kimchi: South Korea beyond the miracle	Rm 201 Main Bldg.
				Smartphones, K-pop, and Kimchi: South Korea beyond the miracle	Rm 256 Main Bldg.
Dec 12 FRI	2:30 pm - 4:30 pm		GEOG2169	Geography and global health	Rm 256 Main Bldg.
Dec 13 SAT	9:30 am - 12:30 pm		CCGL9036	Dilemmas of Humanitarian Intervention	Rm 6 Library Ext.
				Dilemmas of Humanitarian Intervention	Rm 7 Library Ext.
Dec 13 SAT	2:30 pm - 4:30 pm		COMP1117	Computer programming	Loke Yew Hall
				Computer programming	Multi-purpose Zone, Level 3, Main Library
				Computer programming	Rm 103 Main Bldg.
				Computer programming	Rm 105 Chong Yuet Ming Amenities Ctr.
				Computer programming	Rm 167 Main Bldg.
Dec 13 SAT	6:30 pm - 8:30 pm		GEOG1002	Hong Kong: land, people and resources	CPD-LG.07-10, Centennial Campus
Dec 15 MON	9:30 am - 11:30 am		GEOG1003	Contemporary global environmental issues	Loke Yew Hall
				Contemporary global environmental issues	Rm 103 Main Bldg.
				Contemporary global environmental issues	Rm 167 Main Bldg.
				Contemporary global environmental issues	Rm 201 Main Bldg.
Dec 16 TUE	9:30 am - 12:30 pm		COMP2121	Discrete mathematics	CPD-LG.07-10, Centennial Campus
Dec 16 TUE	9:30 am - 11:30 am		GEOG1017	Human geography in a globalizing world	Multi-purpose Zone, Level 3, Main Library
Dec 16 TUE	2:30 pm - 4:30 pm		GEOG2150	Introduction to China’s environmental and sustainable development issues	Rm 103 Main Bldg.
Dec 17 WED	9:30 am - 12:00 noon		MATH1011	University mathematics I	Rm 201 Main Bldg.
				University mathematics I	Rm 237 Main Bldg.
				University mathematics I	Rm 256 Main Bldg.
Dec 18 THU	9:30 am - 11:30 am		PHYS1150	Problem solving in physics	Loke Yew Hall
Dec 18 THU	2:30 pm - 4:30 pm		PSYC1001	Introduction to psychology	CPD-LG.07-10, Centennial Campus
				Introduction to psychology	Multi-purpose Zone, Level 3, Main Library
Dec 19 FRI	2:30 pm - 5:30 pm		AFIC1005	Introduction to the Built Environment	Multi-purpose Zone, Level 3, Main Library
Dec 20 SAT	9:30 am - 11:30 am		CCST9016	Energy: Its Evolution and Environmental Impacts	CPD-LG.07-10, Centennial Campus
Dec 20 SAT	2:30 pm - 4:30 pm		CCST9020	Sustainable Development of the Built Environment	Rm 167 Main Bldg.
