BA&BEd(LangEd-Chin) Examination                                                  Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:30 am		CHIN2123	Shi poetry up to the nineteenth century	Rm 256 Main Bldg.
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 8 MON	2:30 pm - 4:30 pm		CHIN2139	Chinese phonology	Rm 7 Library Ext.
Dec 9 TUE	9:30 am - 11:30 am		CHIN1107	Creative writing	Rm 218 Main Bldg.
Dec 9 TUE	9:30 am - 11:30 am		CHIN2138	Chinese etymology	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 11 THU	2:30 pm - 4:30 pm		CHIN1116	General introduction to modern Chinese language	Rm 6 Library Ext.
				General introduction to modern Chinese language	Rm 7 Library Ext.
Dec 12 FRI	2:30 pm - 4:30 pm		CHIN2152	Literature, modernity and nation in twentieth-century China	Rm 218 Main Bldg.
Dec 13 SAT	6:30 pm - 8:30 pm		GEOG1002	Hong Kong: land, people and resources	CPD-LG.07-10, Centennial Campus
Dec 15 MON	9:30 am - 11:30 am		CEDU9004	Putonghua for BA&BEd (LangEd) Students	CPD-LG.60, Centennial Campus
Dec 15 MON	2:30 pm - 4:30 pm		PSYC2019	Psychology of personality	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 15 MON	6:30 pm - 8:30 pm		CHIN2126	Ci poetry: selected writers	Rm 217 Main Bldg.
Dec 17 WED	9:30 am - 11:30 am		CHIN1118	Introduction to classical Chinese literature	Rm 8 Library Ext.
				Introduction to classical Chinese literature	Rm 9 Library Ext.
Dec 18 THU	9:30 am - 11:30 am		CHIN2130	Modern Chinese literature (1917-1949): fiction	Rm 5 Library Ext.
Dec 18 THU	2:30 pm - 4:30 pm		CHIN1122	Chinese literature in the twentieth century	Rm 2 Library Ext.
Dec 19 FRI	9:30 am - 11:30 am		CHIN2136	Classical Chinese literary criticism	Rm 2 Library Ext.
Dec 20 SAT	9:30 am - 11:30 am		CHIN2127	Classical Chinese fiction	Rm 9 Library Ext.
Dec 22 MON	9:30 am - 11:30 am		CHIN2164	The Analects and Chinese culture	Rm 2 Library Ext.
