BA&BEd(LangEd-Eng) Examination                                                   Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	2:30 pm - 4:30 pm		GEOG2154	Healthy food, place, and sustainability	Rm 201 Main Bldg.
				Healthy food, place, and sustainability	Rm 256 Main Bldg.
Dec 9 TUE	9:30 am - 11:30 am		CEDU9002	Practical Chinese for BA&BEd (LangEd) Students	Rm 217 Main Bldg.
Dec 11 THU	9:30 am - 11:30 am		SOCI1001	Introduction to sociology	Loke Yew Hall
				Introduction to sociology	Rm 103 Main Bldg.
Dec 15 MON	9:30 am - 11:30 am		GEOG1003	Contemporary global environmental issues	Loke Yew Hall
				Contemporary global environmental issues	Rm 103 Main Bldg.
				Contemporary global environmental issues	Rm 167 Main Bldg.
				Contemporary global environmental issues	Rm 201 Main Bldg.
Dec 16 TUE	9:30 am - 11:30 am		GEOG2013	Sustainable Development: Introduction and Quantification	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 17 WED	9:30 am - 11:30 am		CHIN1118	Introduction to classical Chinese literature	Rm 8 Library Ext.
				Introduction to classical Chinese literature	Rm 9 Library Ext.
Dec 18 THU	2:30 pm - 4:30 pm		PSYC1001	Introduction to psychology	CPD-LG.07-10, Centennial Campus
				Introduction to psychology	Multi-purpose Zone, Level 3, Main Library
Dec 19 FRI	2:30 pm - 4:30 pm		POLI3133	Contemporary Southeast Asian politics	Rm 167 Main Bldg.
Dec 20 SAT	9:30 am - 11:30 am		CHIN2127	Classical Chinese fiction	Rm 9 Library Ext.
