BASc Examination                                                                 Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:00 am		BIOL1110	From molecules to cells	Multi-purpose Zone, Level 3, Main Library
				From molecules to cells	Rm 9 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 8 MON	9:30 am - 12:30 pm		MECH2419	Properties of materials	Rm 4 Library Ext.
				Properties of materials	Rm 5 Library Ext.
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		STAT1600	Statistics: ideas and concepts	Rm 2 Library Ext.
				Statistics: ideas and concepts	Rm 3 Library Ext.
				Statistics: ideas and concepts	Rm 9 Library Ext.
Dec 10 WED	2:30 pm - 4:30 pm		GEOG2096	Human impacts on ecosystems	Rm 201 Main Bldg.
				Human impacts on ecosystems	Rm 256 Main Bldg.
Dec 11 THU	9:30 am - 11:30 am		GEOG2126	Understanding China: the Land and the People	Rm 218 Main Bldg.
Dec 11 THU	2:30 pm - 4:30 pm		EASC1401	Blue planet	Rm 201 Main Bldg.
				Blue planet	Rm 256 Main Bldg.
Dec 11 THU	2:30 pm - 4:30 pm		ENVS3004	Environment, society and economics	Rm 8 Library Ext.
Dec 11 THU	2:30 pm - 5:00 pm		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
				University mathematics II	Loke Yew Hall
