BBA Examination                                                                  Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:30 am		SOCI3010	Education and society	Rm 201 Main Bldg.
Dec 6 SAT	9:30 am - 11:30 am		STAT4601	Time-series analysis	Rm 3 Library Ext.
				Time-series analysis	Rm 4 Library Ext.
				Time-series analysis	Rm 5 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		GEOG2154	Healthy food, place, and sustainability	Rm 201 Main Bldg.
				Healthy food, place, and sustainability	Rm 256 Main Bldg.
Dec 6 SAT	6:30 pm - 8:30 pm		FINA2320	Investments and portfolio analysis	Loke Yew Hall
				Investments and portfolio analysis	Rm 103 Main Bldg.
				Investments and portfolio analysis	Rm 167 Main Bldg.
				Investments and portfolio analysis	Rm 256 Main Bldg.
Dec 8 MON	9:30 am - 12:30 pm		COMP3230	Principles of operating systems	Rm 105 Chong Yuet Ming Amenities Ctr.
				Principles of operating systems	Rm 2 Library Ext.
				Principles of operating systems	Rm 3 Library Ext.
Dec 8 MON	9:30 am - 11:30 am		IIMT2641	Introduction to business analytics	Rm 201 Main Bldg.
				Introduction to business analytics	Rm 237 Main Bldg.
				Introduction to business analytics	Rm 256 Main Bldg.
Dec 8 MON	2:30 pm - 4:30 pm		ACCT3107	Hong Kong taxation	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 8 MON	2:30 pm - 4:00 pm		ECON1210	Introductory microeconomics	CPD-LG.07-10, Centennial Campus
				Introductory microeconomics	CPD-LG.60, Centennial Campus
				Introductory microeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 103 Main Bldg.
				Introductory microeconomics	Rm 167 Main Bldg.
				Introductory microeconomics	Rm 2 Library Ext.
				Introductory microeconomics	Rm 201 Main Bldg.
				Introductory microeconomics	Rm 237 Main Bldg.
				Introductory microeconomics	Rm 256 Main Bldg.
				Introductory microeconomics	Rm 3 Library Ext.
				Introductory microeconomics	Rm 4 Library Ext.
				Introductory microeconomics	Rm 5 Library Ext.
Dec 8 MON	2:30 pm - 4:30 pm		ECON3283	Economic forecasting	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 8 MON	6:30 pm - 8:30 pm		PHYS1250	Fundamental physics	CPD-LG.07-10, Centennial Campus
Dec 9 TUE	9:30 am - 12:00 noon		MATH1009	Basic mathematics for business and economics	Multi-purpose Zone, Level 3, Main Library
				Basic mathematics for business and economics	Rm 2 Library Ext.
				Basic mathematics for business and economics	Rm 3 Library Ext.
				Basic mathematics for business and economics	Rm 4 Library Ext.
Dec 9 TUE	9:30 am - 11:30 am		SOCI3067	Crime and the media	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 TUE	2:30 pm - 3:30 pm		ECON2275	The political economy of law and public policy	Rm 2 Library Ext.
Dec 9 TUE	2:30 pm - 4:30 pm		FINA2390	Financial programming and databases	Rm 610, K.K. Leung Bldg.
Dec 9 TUE	2:30 pm - 4:30 pm		FINA3339	Private Credit	Rm 3 Library Ext.
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 9 TUE	2:30 pm - 4:30 pm		POLI3047	United States foreign policy	Rm 217 Main Bldg.
Dec 9 TUE	2:30 pm - 4:30 pm		SCNC1112	Fundamentals of modern science	CPD-LG.07-10, Centennial Campus
Dec 10 WED	9:30 am - 11:30 am		ACCT3103	Intermediate financial accounting II	Rm 103 Main Bldg.
				Intermediate financial accounting II	Rm 167 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		COMP2396	Object-oriented programming and Java	Loke Yew Hall
				Object-oriented programming and Java	Rm 256 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		SDST1600	Statistics: Ideas and Concepts	Rm 4 Library Ext.
				Statistics: Ideas and Concepts	Rm 5 Library Ext.
Dec 10 WED	9:30 am - 11:30 am		STAT1600	Statistics: ideas and concepts	Rm 2 Library Ext.
				Statistics: ideas and concepts	Rm 3 Library Ext.
				Statistics: ideas and concepts	Rm 9 Library Ext.
Dec 10 WED	2:30 pm - 4:30 pm		FINA1310	Corporate finance	Multi-purpose Zone, Level 3, Main Library
				Corporate finance	Rm 105 Chong Yuet Ming Amenities Ctr.
				Corporate finance	Rm 8 Library Ext.
				Corporate finance	Rm 9 Library Ext.
Dec 10 WED	2:30 pm - 4:30 pm		FINA2312	Advanced corporate finance	Rm 6 Library Ext.
				Advanced corporate finance	Rm 7 Library Ext.
Dec 10 WED	2:30 pm - 4:30 pm		GEOG2096	Human impacts on ecosystems	Rm 201 Main Bldg.
				Human impacts on ecosystems	Rm 256 Main Bldg.
Dec 11 THU	9:30 am - 11:30 am		CHIN2125	Ci poetry up to the nineteenth century	Rm 6 Library Ext.
Dec 11 THU	9:30 am - 12:00 noon		FINA2343	Lending and Credit in Private Banking and Corporate Banking (1)	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 11 THU	9:30 am - 11:30 am		SOCI1001	Introduction to sociology	Loke Yew Hall
				Introduction to sociology	Rm 103 Main Bldg.
Dec 11 THU	2:30 pm - 5:30 pm		ELEC3845	Economics, finance and marketing for engineers	Rm 237 Main Bldg.
Dec 11 THU	2:30 pm - 5:00 pm		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
				University mathematics II	Loke Yew Hall
				University mathematics II	Multi-purpose Zone, Level 3, Main Library
				University mathematics II	Rm 103 Main Bldg.
				University mathematics II	Rm 167 Main Bldg.
Dec 11 THU	2:30 pm - 5:00 pm		MATH2211	Multivariable calculus	Rm 4 Library Ext.
				Multivariable calculus	Rm 5 Library Ext.
Dec 11 THU	2:30 pm - 4:30 pm		POLI2108	Introduction to public administration	Rm 217 Main Bldg.
				Introduction to public administration	Rm 218 Main Bldg.
Dec 12 FRI	9:30 am - 11:30 am		ECON1280	Analysis of economic data	Multi-purpose Zone, Level 3, Main Library
				Analysis of economic data	Rm 6 Library Ext.
				Analysis of economic data	Rm 7 Library Ext.
				Analysis of economic data	Rm 8 Library Ext.
				Analysis of economic data	Rm 9 Library Ext.
Dec 12 FRI	9:30 am - 11:30 am		ECON2280	Introductory econometrics	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 12 FRI	9:30 am - 11:30 am		FINA4354	Financial engineering	Rm 167 Main Bldg.
Dec 12 FRI	2:30 pm - 4:30 pm		CBBA9001	Practical Chinese for BBA/BBA(Acc&Fin) Students	Rm 103 Main Bldg.
				Practical Chinese for BBA/BBA(Acc&Fin) Students	Rm 167 Main Bldg.
Dec 12 FRI	2:30 pm - 4:30 pm		CHIN2152	Literature, modernity and nation in twentieth-century China	Rm 218 Main Bldg.
