BBiomedSc Examination                                                            Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:30 am		BBMS1001	Introduction to Human Anatomy and Physiology	Rm 2 Library Ext.
				Introduction to Human Anatomy and Physiology	Rm 3 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 6 SAT	6:30 pm - 8:30 pm		BIOC2600	Basic biochemistry	Rm 105 Chong Yuet Ming Amenities Ctr.
				Basic biochemistry	Rm 9 Library Ext.
Dec 6 SAT	6:30 pm - 8:30 pm		EASC1402	Principles of geology	Rm 218 Main Bldg.
Dec 8 MON	9:30 am - 11:30 am		BBMS1021	Introduction to AI and Biomedical Data Science	Rm 103 Main Bldg.
Dec 8 MON	9:30 am - 11:30 am		BBMS2007	Essential Molecular Biology	Loke Yew Hall
Dec 8 MON	9:30 am - 11:30 am		BBMS3002	Molecular Biology of the Cell	Rm 167 Main Bldg.
Dec 8 MON	9:30 am - 11:30 am		BIOF1001	Introduction to Biomedical Data Science	Rm 167 Main Bldg.
Dec 8 MON	2:30 pm - 4:00 pm		ECON1210	Introductory microeconomics	CPD-LG.07-10, Centennial Campus
				Introductory microeconomics	CPD-LG.60, Centennial Campus
				Introductory microeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 103 Main Bldg.
				Introductory microeconomics	Rm 167 Main Bldg.
				Introductory microeconomics	Rm 2 Library Ext.
				Introductory microeconomics	Rm 201 Main Bldg.
				Introductory microeconomics	Rm 237 Main Bldg.
				Introductory microeconomics	Rm 256 Main Bldg.
				Introductory microeconomics	Rm 3 Library Ext.
				Introductory microeconomics	Rm 4 Library Ext.
				Introductory microeconomics	Rm 5 Library Ext.
Dec 8 MON	6:30 pm - 8:30 pm		PHYS1250	Fundamental physics	CPD-LG.07-10, Centennial Campus
Dec 9 TUE	9:30 am - 11:30 am		BBMS2006	Physiological Basis of Health and Disease	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 TUE	9:30 am - 12:00 noon		MATH1009	Basic mathematics for business and economics	Multi-purpose Zone, Level 3, Main Library
				Basic mathematics for business and economics	Rm 2 Library Ext.
				Basic mathematics for business and economics	Rm 3 Library Ext.
				Basic mathematics for business and economics	Rm 4 Library Ext.
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		BBMS3001	Medical Microbiology	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 10 WED	9:30 am - 11:30 am		COMP2396	Object-oriented programming and Java	Loke Yew Hall
				Object-oriented programming and Java	Rm 256 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		STAT1600	Statistics: ideas and concepts	Rm 2 Library Ext.
				Statistics: ideas and concepts	Rm 3 Library Ext.
				Statistics: ideas and concepts	Rm 9 Library Ext.
Dec 10 WED	2:30 pm - 4:00 pm		BBMS1003	Perspectives in biochemistry	Rm 217 Main Bldg.
				Perspectives in biochemistry	Rm 218 Main Bldg.
Dec 10 WED	2:30 pm - 5:30 pm		BBMS3012	Stem Cell Biotechnologies in Regenerative Medicine	Rm 103 Main Bldg.
Dec 10 WED	2:30 pm - 4:30 pm		GEOG2096	Human impacts on ecosystems	Rm 201 Main Bldg.
				Human impacts on ecosystems	Rm 256 Main Bldg.
Dec 11 THU	9:30 am - 12:30 pm		BBMS3009	Genome Science	Rm 5 Library Ext.
Dec 11 THU	9:30 am - 11:30 am		CHEM1043	General chemistry II	Rm 217 Main Bldg.
