BEd&BSc Examination                                                              Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:00 am		BIOL1110	From molecules to cells	Multi-purpose Zone, Level 3, Main Library
				From molecules to cells	Rm 9 Library Ext.
Dec 6 SAT	9:30 am - 11:30 am		BIOL3401	Molecular biology	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 6 SAT	9:30 am - 11:30 am		CEDU9007	Practical Chinese for BEd&BSc Students	CPD-LG.60, Centennial Campus
Dec 6 SAT	6:30 pm - 8:30 pm		BIOL2220	Principles of biochemistry	Rm 2 Library Ext.
				Principles of biochemistry	Rm 3 Library Ext.
Dec 6 SAT	6:30 pm - 8:30 pm		CHEM3442	Organic chemistry of biomolecules	Rm 5 Library Ext.
Dec 6 SAT	6:30 pm - 8:30 pm		EASC1402	Principles of geology	Rm 218 Main Bldg.
Dec 8 MON	9:30 am - 11:30 am		PHYS4150	Computational physics	T1 Meng Wah Complex
Dec 8 MON	2:30 pm - 4:00 pm		ECON1210	Introductory microeconomics	CPD-LG.07-10, Centennial Campus
				Introductory microeconomics	CPD-LG.60, Centennial Campus
				Introductory microeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 103 Main Bldg.
				Introductory microeconomics	Rm 167 Main Bldg.
				Introductory microeconomics	Rm 2 Library Ext.
				Introductory microeconomics	Rm 201 Main Bldg.
				Introductory microeconomics	Rm 237 Main Bldg.
				Introductory microeconomics	Rm 256 Main Bldg.
				Introductory microeconomics	Rm 3 Library Ext.
				Introductory microeconomics	Rm 4 Library Ext.
				Introductory microeconomics	Rm 5 Library Ext.
Dec 8 MON	6:30 pm - 9:30 pm		CHEM4342	Organometallic chemistry	Rm 9 Library Ext.
Dec 9 TUE	2:30 pm - 4:30 pm		CHEM4241	Modern chemical instrumentation and applications	Rm 218 Main Bldg.
Dec 9 TUE	2:30 pm - 4:30 pm		PHYS4653	Selected topics in astrophysics and cosmology	Rm 5 Library Ext.
Dec 9 TUE	2:30 pm - 4:30 pm		SCNC1112	Fundamentals of modern science	CPD-LG.07-10, Centennial Campus
