BEd&BSocSc Examination                                                           Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	2:30 pm - 4:30 pm		GEOG2154	Healthy food, place, and sustainability	Rm 201 Main Bldg.
				Healthy food, place, and sustainability	Rm 256 Main Bldg.
Dec 9 TUE	9:30 am - 12:00 noon		MATH1009	Basic mathematics for business and economics	Multi-purpose Zone, Level 3, Main Library
				Basic mathematics for business and economics	Rm 2 Library Ext.
				Basic mathematics for business and economics	Rm 3 Library Ext.
				Basic mathematics for business and economics	Rm 4 Library Ext.
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		ACCT3103	Intermediate financial accounting II	Rm 103 Main Bldg.
				Intermediate financial accounting II	Rm 167 Main Bldg.
Dec 11 THU	9:30 am - 11:30 am		GEOG2126	Understanding China: the Land and the People	Rm 218 Main Bldg.
Dec 12 FRI	2:30 pm - 4:00 pm		GEOG2030	Global development	Rm 105 Chong Yuet Ming Amenities Ctr.
				Global development	Rm 8 Library Ext.
				Global development	Rm 9 Library Ext.
Dec 13 SAT	6:30 pm - 8:30 pm		GEOG1002	Hong Kong: land, people and resources	CPD-LG.07-10, Centennial Campus
Dec 16 TUE	9:30 am - 11:30 am		GEOG1017	Human geography in a globalizing world	Multi-purpose Zone, Level 3, Main Library
Dec 16 TUE	9:30 am - 11:30 am		GEOG2013	Sustainable Development: Introduction and Quantification	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 17 WED	9:30 am - 11:30 am		POLI3052	International relations of East Asia	Rm 103 Main Bldg.
				International relations of East Asia	Rm 167 Main Bldg.
Dec 19 FRI	9:30 am - 11:30 am		GEOG2127	Environmental management	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 22 MON	9:30 am - 11:30 am		GEOG3214	Corporate social responsibility and environmental auditing	Loke Yew Hall
Dec 23 TUE	9:30 am - 11:30 am		GEOG3414	Social Justice and the City	Multi-purpose Zone, Level 3, Main Library
