BEng(DASE) Examination                                                           Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:30 am		ENGG1300	Fundamental mechanics	CPD-LG.07-10, Centennial Campus
Dec 6 SAT	9:30 am - 12:30 pm		MECH4412	Product design and development	Rm 8 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 8 MON	9:30 am - 12:30 pm		ELEC4144	Electric vehicle technology	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 8 MON	9:30 am - 12:30 pm		MECH2419	Properties of materials	Rm 4 Library Ext.
				Properties of materials	Rm 5 Library Ext.
Dec 8 MON	2:30 pm - 4:00 pm		ECON1210	Introductory microeconomics	CPD-LG.07-10, Centennial Campus
				Introductory microeconomics	CPD-LG.60, Centennial Campus
				Introductory microeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 103 Main Bldg.
				Introductory microeconomics	Rm 167 Main Bldg.
				Introductory microeconomics	Rm 2 Library Ext.
				Introductory microeconomics	Rm 201 Main Bldg.
				Introductory microeconomics	Rm 237 Main Bldg.
				Introductory microeconomics	Rm 256 Main Bldg.
				Introductory microeconomics	Rm 3 Library Ext.
				Introductory microeconomics	Rm 4 Library Ext.
				Introductory microeconomics	Rm 5 Library Ext.
Dec 9 TUE	9:30 am - 12:30 pm		ELEC4542	Introduction to deep learning for computer vision	CPD-LG.07-10, Centennial Campus
Dec 9 TUE	9:30 am - 12:30 pm		MATH1853	Linear algebra, probability and statistics	Loke Yew Hall
				Linear algebra, probability and statistics	Rm 103 Main Bldg.
				Linear algebra, probability and statistics	Rm 167 Main Bldg.
				Linear algebra, probability and statistics	Rm 201 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		DASE3128	Human-machine collaboration	Rm 201 Main Bldg.
Dec 10 WED	2:30 pm - 4:30 pm		DASE4122	Global logistics and transportation systems	Rm 5 Library Ext.
Dec 10 WED	2:30 pm - 5:30 pm		ENGG1310	Electricity and electronics	Loke Yew Hall
				Electricity and electronics	Rm 103 Main Bldg.
Dec 11 THU	9:30 am - 12:30 pm		MATH1851	Calculus and ordinary differential equations	Multi-purpose Zone, Level 3, Main Library
				Calculus and ordinary differential equations	Rm 2 Library Ext.
				Calculus and ordinary differential equations	Rm 3 Library Ext.
Dec 11 THU	2:30 pm - 5:30 pm		DASE3115	Engineering economics and finance	Rm 9 Library Ext.
Dec 11 THU	2:30 pm - 5:30 pm		ELEC3845	Economics, finance and marketing for engineers	Rm 237 Main Bldg.
Dec 12 FRI	9:30 am - 11:30 am		DASE3158	Data structures and algorithms	Rm 5 Library Ext.
Dec 12 FRI	2:30 pm - 4:30 pm		FITE3010	Big data and data mining	Rm 217 Main Bldg.
Dec 12 FRI	2:30 pm - 5:00 pm		MATH3904	Introduction to optimization	Multi-purpose Zone, Level 3, Main Library
Dec 13 SAT	2:30 pm - 4:30 pm		ENGG1330	Computer programming I	CPD-LG.07-10, Centennial Campus
				Computer programming I	CPD-LG.60, Centennial Campus
				Computer programming I	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 15 MON	9:30 am - 12:30 pm		SDST3906	Risk theory I	Rm 7 Library Ext.
Dec 16 TUE	9:30 am - 12:30 pm		COMP2121	Discrete mathematics	CPD-LG.07-10, Centennial Campus
Dec 16 TUE	9:30 am - 12:30 pm		ENGG1200	Engineering Physics	Rm 9 Library Ext.
Dec 16 TUE	2:30 pm - 5:30 pm		DASE2102	Fundamentals of logistics and operations	Rm 217 Main Bldg.
Dec 16 TUE	2:30 pm - 4:30 pm		PHYS3650	Observational astronomy	Rm 167 Main Bldg.
Dec 17 WED	9:30 am - 12:00 noon		MATH1011	University mathematics I	Rm 201 Main Bldg.
				University mathematics I	Rm 237 Main Bldg.
				University mathematics I	Rm 256 Main Bldg.
Dec 17 WED	2:30 pm - 4:30 pm		CUND9002	Practical Chinese and Hong Kong Society	Rm 2 Library Ext.
				Practical Chinese and Hong Kong Society	Rm 3 Library Ext.
Dec 18 THU	2:30 pm - 5:30 pm		DASE4102	Engineering project management	Rm 217 Main Bldg.
Dec 19 FRI	9:30 am - 11:30 am		COMP3353	Bioinformatics	Loke Yew Hall
Dec 19 FRI	2:30 pm - 5:30 pm		ELEC3844	Engineering management and society	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 19 FRI	2:30 pm - 4:30 pm		SDST3600	Linear statistical analysis	Loke Yew Hall
Dec 20 SAT	9:30 am - 11:30 am		CCST9016	Energy: Its Evolution and Environmental Impacts	CPD-LG.07-10, Centennial Campus
Dec 22 MON	9:30 am - 12:30 pm		DASE2134	Operational research	Rm 217 Main Bldg.
Dec 22 MON	6:30 pm - 8:30 pm		ELEC4546	Investment and trading for engineering students	Rm 167 Main Bldg.
