BEng(EngSc) Examination Timetable for the First Semester of 2025-2026
(As at Oct 17, 2025)
Date 	Time 		Course Code 	Description 	Venue
Dec 6 SAT 	9:30 am - 11:00 am 		BIOL1110 	From molecules to cells 	Multi-purpose Zone, Level 3, Main Library
				From molecules to cells 	Rm 9 Library Ext.
Dec 6 SAT 	9:30 am - 11:30 am 		DASE4119 	Digital enterprises and e-commerce 	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 6 SAT 	9:30 am - 12:30 pm 		MECH4412 	Product design and development 	Rm 8 Library Ext.
Dec 6 SAT 	2:30 pm - 4:30 pm 		ACCT1101 	Introduction to financial accounting 	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting 	CPD-LG.60, Centennial Campus
				Introduction to financial accounting 	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting 	Loke Yew Hall
				Introduction to financial accounting 	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting 	Rm 103 Main Bldg.
				Introduction to financial accounting 	Rm 167 Main Bldg.
				Introduction to financial accounting 	Rm 237 Main Bldg.
				Introduction to financial accounting 	Rm 6 Library Ext.
				Introduction to financial accounting 	Rm 7 Library Ext.
				Introduction to financial accounting 	Rm 8 Library Ext.
				Introduction to financial accounting 	Rm 9 Library Ext.
Dec 6 SAT 	2:30 pm - 4:30 pm 		COMP3314 	Introduction to machine learning 	Rm 2 Library Ext.
				Introduction to machine learning 	Rm 3 Library Ext.
Dec 6 SAT 	2:30 pm - 4:30 pm 		COMP3354 	Statistical Learning 	Rm 4 Library Ext.
Dec 6 SAT 	6:30 pm - 8:30 pm 		BIOC2600 	Basic biochemistry 	Rm 105 Chong Yuet Ming Amenities Ctr.
				Basic biochemistry 	Rm 9 Library Ext.
Dec 6 SAT 	6:30 pm - 8:30 pm 		BMED2301 	Life sciences I (Biochemistry) 	Rm 8 Library Ext.
Dec 6 SAT 	6:30 pm - 9:30 pm 		CIVL3107 	Environmental Impact Assessment of Civil Engineering Projects 	Rm 237 Main Bldg.
Dec 6 SAT 	6:30 pm - 8:30 pm 		FINA2320 	Investments and portfolio analysis 	Loke Yew Hall
				Investments and portfolio analysis 	Rm 103 Main Bldg.
				Investments and portfolio analysis 	Rm 167 Main Bldg.
				Investments and portfolio analysis 	Rm 256 Main Bldg.
