BSc&LLB Examination                                                              Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:00 am		BIOL1110	From molecules to cells	Multi-purpose Zone, Level 3, Main Library
				From molecules to cells	Rm 9 Library Ext.
Dec 6 SAT	9:30 am - 11:30 am		BIOL3401	Molecular biology	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 6 SAT	6:30 pm - 8:30 pm		BIOC2600	Basic biochemistry	Rm 105 Chong Yuet Ming Amenities Ctr.
				Basic biochemistry	Rm 9 Library Ext.
Dec 6 SAT	6:30 pm - 8:30 pm		BIOL2220	Principles of biochemistry	Rm 2 Library Ext.
				Principles of biochemistry	Rm 3 Library Ext.
Dec 6 SAT	6:30 pm - 8:30 pm		EASC1402	Principles of geology	Rm 218 Main Bldg.
Dec 8 MON	9:30 am - 11:45 am (15 minutes' reading time included)		LLAW1016	Legal research and writing	CPD-LG.07-10, Centennial Campus
Dec 8 MON	9:30 am - 10:30 am (15 minutes' reading time included)		LLAW3094	Equity and trusts I	Multi-purpose Zone, Level 3, Main Library
Dec 8 MON	2:30 pm - 4:30 pm		PHYS2261	Introductory heat and thermodynamics	Rm 217 Main Bldg.
				Introductory heat and thermodynamics	Rm 218 Main Bldg.
Dec 8 MON	6:30 pm - 7:30 pm		BIOL2103	Biological sciences laboratory course	Rm 4 Library Ext.
				Biological sciences laboratory course	Rm 5 Library Ext.
Dec 8 MON	6:30 pm - 8:30 pm		PHYS1250	Fundamental physics	CPD-LG.07-10, Centennial Campus
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 9 TUE	2:30 pm - 4:30 pm		SCNC1112	Fundamentals of modern science	CPD-LG.07-10, Centennial Campus
Dec 10 WED	9:30 am - 11:30 am		LLAW1008	The legal system of the Hong Kong SAR	CPD-LG.07-10, Centennial Campus
Dec 10 WED	9:30 am - 11:30 am		LLAW2018	Land law I	Rm 105 Chong Yuet Ming Amenities Ctr.
