BStat Examination                                                                Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:30 am		SDST4601	Time-series analysis	Rm 5 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		COMP3314	Introduction to machine learning	Rm 2 Library Ext.
				Introduction to machine learning	Rm 3 Library Ext.
Dec 8 MON	9:30 am - 11:30 am		IIMT2641	Introduction to business analytics	Rm 201 Main Bldg.
				Introduction to business analytics	Rm 237 Main Bldg.
				Introduction to business analytics	Rm 256 Main Bldg.
Dec 8 MON	2:30 pm - 4:00 pm		ECON1210	Introductory microeconomics	CPD-LG.07-10, Centennial Campus
				Introductory microeconomics	CPD-LG.60, Centennial Campus
				Introductory microeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 103 Main Bldg.
				Introductory microeconomics	Rm 167 Main Bldg.
				Introductory microeconomics	Rm 2 Library Ext.
				Introductory microeconomics	Rm 201 Main Bldg.
				Introductory microeconomics	Rm 237 Main Bldg.
				Introductory microeconomics	Rm 256 Main Bldg.
				Introductory microeconomics	Rm 3 Library Ext.
				Introductory microeconomics	Rm 4 Library Ext.
				Introductory microeconomics	Rm 5 Library Ext.
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		COMP2396	Object-oriented programming and Java	Loke Yew Hall
				Object-oriented programming and Java	Rm 256 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		SDST1600	Statistics: Ideas and Concepts	Rm 4 Library Ext.
				Statistics: Ideas and Concepts	Rm 5 Library Ext.
Dec 11 THU	9:30 am - 11:30 am		SDST4610	Bayesian learning	Rm 167 Main Bldg.
Dec 11 THU	2:30 pm - 4:30 pm		EASC1401	Blue planet	Rm 201 Main Bldg.
				Blue planet	Rm 256 Main Bldg.
Dec 11 THU	2:30 pm - 5:00 pm		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
				University mathematics II	Loke Yew Hall
				University mathematics II	Multi-purpose Zone, Level 3, Main Library
				University mathematics II	Rm 103 Main Bldg.
				University mathematics II	Rm 167 Main Bldg.
Dec 11 THU	2:30 pm - 5:00 pm		MATH2211	Multivariable calculus	Rm 4 Library Ext.
				Multivariable calculus	Rm 5 Library Ext.
Dec 12 FRI	9:30 am - 11:30 am		ECON1280	Analysis of economic data	Multi-purpose Zone, Level 3, Main Library
				Analysis of economic data	Rm 6 Library Ext.
				Analysis of economic data	Rm 7 Library Ext.
				Analysis of economic data	Rm 8 Library Ext.
				Analysis of economic data	Rm 9 Library Ext.
Dec 12 FRI	9:30 am - 11:30 am		SDST3603	Stochastic processes	Rm 3 Library Ext.
Dec 12 FRI	2:30 pm - 4:30 pm		FITE3010	Big data and data mining	Rm 217 Main Bldg.
Dec 12 FRI	2:30 pm - 5:00 pm		MATH3408	Computational methods and differential equations with applications	Multi-purpose Zone, Level 3, Main Library
Dec 12 FRI	2:30 pm - 5:00 pm		MATH3904	Introduction to optimization	Multi-purpose Zone, Level 3, Main Library
Dec 13 SAT	9:30 am - 12:30 pm		COMP2119	Introduction to data structures and algorithms	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introduction to data structures and algorithms	Rm 2 Library Ext.
				Introduction to data structures and algorithms	Rm 3 Library Ext.
				Introduction to data structures and algorithms	Rm 8 Library Ext.
Dec 13 SAT	2:30 pm - 4:30 pm		COMP1117	Computer programming	Loke Yew Hall
				Computer programming	Multi-purpose Zone, Level 3, Main Library
				Computer programming	Rm 103 Main Bldg.
				Computer programming	Rm 105 Chong Yuet Ming Amenities Ctr.
				Computer programming	Rm 167 Main Bldg.
Dec 13 SAT	2:30 pm - 4:30 pm		ENGG1330	Computer programming I	CPD-LG.07-10, Centennial Campus
				Computer programming I	CPD-LG.60, Centennial Campus
				Computer programming I	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 13 SAT	6:30 pm - 9:00 pm		MATH4406	Introduction to partial differential equations	Rm 256 Main Bldg.
Dec 15 MON	9:30 am - 11:30 am		GEOG1003	Contemporary global environmental issues	Loke Yew Hall
				Contemporary global environmental issues	Rm 103 Main Bldg.
				Contemporary global environmental issues	Rm 167 Main Bldg.
				Contemporary global environmental issues	Rm 201 Main Bldg.
Dec 15 MON	2:30 pm - 4:30 pm		COMP2113	Programming technologies	Loke Yew Hall
