Faculty of Social Sciences Postgraduate Courses Examination                      Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 8 MON	6:30 pm - 8:30 pm		GEOG7120	Urban China: cultural basis and contemporary issues	Multi-purpose Zone, Level 3, Main Library
Dec 9 TUE	6:30 pm - 8:30 pm		GEOG7006	Engineering for transport systems	Rm 103 Main Bldg.
Dec 9 TUE	6:30 pm - 8:00 pm		SOCI7002	Methods of research for criminology	Rm 217 Main Bldg.
Dec 9 TUE	6:30 pm - 8:30 pm		SOCI7005	Theories of media, culture and creative cities	Rm 201 Main Bldg.
				Theories of media, culture and creative cities	Rm 256 Main Bldg.
Dec 11 THU	6:30 pm - 8:30 pm		GEOG7126	Cultural tourism in Hong Kong, Macau and South China	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 13 SAT	2:30 pm - 4:30 pm		ENVM8020	Green Building Design and Management	Rm 217 Main Bldg.
Dec 13 SAT	6:30 pm - 8:30 pm		GEOG7141	Politics of contemporary China	Loke Yew Hall
Dec 16 TUE	2:30 pm - 4:30 pm		GEOG7147	The Greater Bay Area: Economy, Governance, and Regional Integration	CPD-LG.07-10, Centennial Campus
Dec 18 THU	2:30 pm - 4:30 pm		GEOG7124	Globalization and spatial economic transformation in China	Loke Yew Hall
Dec 22 MON	6:30 pm - 9:30 pm		SOCI7004	Theoretical criminology	Rm 103 Main Bldg.
