Faculty of Engineering Postgraduate Courses Examination                          Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 3 WED	6:30 pm - 8:30 pm		COMP7503	Multimedia technologies	Loke Yew Hall
				Multimedia technologies	Rm 103 Main Bldg.
Dec 3 WED	6:30 pm - 8:30 pm		ECOM6013	E-commerce technologies	Multi-purpose Zone, Level 3, Main Library
Dec 4 THU	6:30 pm - 8:30 pm		COMP7104	Advanced database systems	Loke Yew Hall
Dec 4 THU	6:30 pm - 8:30 pm		ECOM6023	E-financial services	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 5 FRI	6:30 pm - 8:30 pm		COMP7107	Management of complex data types	Loke Yew Hall
Dec 5 FRI	6:30 pm - 8:30 pm		ICOM6045	Fundamentals of e-commerce security	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 6 SAT	9:30 am - 11:30 am		CIVL6037	Project management - human and organisational factors	Rm 217 Main Bldg.
				Project management - human and organisational factors	Rm 218 Main Bldg.
Dec 6 SAT	9:30 am - 11:30 am		DASE7119	Digital enterprises and e-commerce	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 6 SAT	2:30 pm - 4:30 pm		MECH7014	Railway engineering – metro and high-speed rail	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 6 SAT	2:30 pm - 4:30 pm		STAT6013	Financial data analysis	Rm 217 Main Bldg.
				Financial data analysis	Rm 218 Main Bldg.
Dec 6 SAT	6:30 pm - 8:30 pm		COMP7508	Data-driven computer animation	CPD-LG.60, Centennial Campus
				Data-driven computer animation	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 6 SAT	6:30 pm - 8:30 pm		ELEC6095	Smart grid	Rm 4 Library Ext.
				Smart grid	Rm 5 Library Ext.
Dec 6 SAT	6:30 pm - 8:30 pm		ELEC6604	Neural networks, fuzzy systems and genetic algorithms	Rm 6 Library Ext.
				Neural networks, fuzzy systems and genetic algorithms	Rm 7 Library Ext.
Dec 8 MON	6:30 pm - 8:30 pm		DASE7015	Engineering economics and finance	Loke Yew Hall
Dec 8 MON	6:30 pm - 8:30 pm		ELEC7402	Advanced electric vehicle technology	Rm 3 Library Ext.
Dec 8 MON	6:30 pm - 8:30 pm		EMEE6011	Energy saving lighting	Rm 3 Library Ext.
Dec 8 MON	6:30 pm - 8:30 pm		MEBS6002	Lighting engineering	CPD-LG.60, Centennial Campus
				Lighting engineering	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 8 MON	6:30 pm - 8:30 pm		MECH6010	Service behaviour of materials	CPD-LG.07-10, Centennial Campus
Dec 9 TUE	2:30 pm - 4:30 pm		DASE7505	Intelligent unmanned systems	Rm 4 Library Ext.
				Intelligent unmanned systems	Rm 5 Library Ext.
Dec 9 TUE	6:30 pm - 8:30 pm		CIVL6060	Operation and maintenance of building and civil engineering works	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 TUE	6:30 pm - 8:30 pm		CIVL6077	Ground investigation and soil testing	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 TUE	6:30 pm - 8:30 pm		CIVL7021	NEC contract management	Loke Yew Hall
Dec 9 TUE	6:30 pm - 8:30 pm		COMP7802	Introduction to financial computing	Multi-purpose Zone, Level 3, Main Library
Dec 9 TUE	6:30 pm - 8:30 pm		ELEC6603	Success in industrial entrepreneurship	CPD-LG.07-10, Centennial Campus
Dec 10 WED	2:30 pm - 4:30 pm		DASE7222	Decision analytics in global logistics	Rm 4 Library Ext.
				Decision analytics in global logistics	Rm 5 Library Ext.
Dec 10 WED	6:30 pm - 8:30 pm		CIVL6025	Environmental impact assessment of engineering projects	CPD-LG.07-10, Centennial Campus
Dec 10 WED	6:30 pm - 8:30 pm		DASC7606	Deep learning	Loke Yew Hall
				Deep learning	Rm 103 Main Bldg.
				Deep learning	Rm 105 Chong Yuet Ming Amenities Ctr.
				Deep learning	Rm 167 Main Bldg.
Dec 10 WED	6:30 pm - 8:30 pm		ELEC6085	The role of a computerized SCADA system in power system operation	CPD-LG.07-10, Centennial Campus
Dec 10 WED	6:30 pm - 8:30 pm		MEBS6001	Electrical installations	Loke Yew Hall
Dec 10 WED	6:30 pm - 8:30 pm		MECH6017	Noise and vibration	Multi-purpose Zone, Level 3, Main Library
Dec 10 WED	6:30 pm - 8:30 pm		MECH6045	Nanotechnology: fundamentals and applications	Multi-purpose Zone, Level 3, Main Library
Dec 10 WED	6:30 pm - 8:30 pm		MEST7420	CMOS Analog Circuit Design: Basic Circuits	Loke Yew Hall
Dec 11 THU	6:30 pm - 8:30 pm		CIVL6026	Finite element method	Rm 217 Main Bldg.
Dec 11 THU	6:30 pm - 8:30 pm		CIVL6083	Practical design and construction of tunnels in Hong Kong	Rm 218 Main Bldg.
Dec 11 THU	6:30 pm - 8:30 pm		COMP7103	Data mining	CPD-LG.07-10, Centennial Campus
				Data mining	CPD-LG.60, Centennial Campus
				Data mining	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 11 THU	6:30 pm - 8:30 pm		DASE7150	Frontiers in data and systems engineering A	Loke Yew Hall
Dec 11 THU	6:30 pm - 8:30 pm		ELEC7029	Analog IC design computing and memories	Multi-purpose Zone, Level 3, Main Library
Dec 11 THU	6:30 pm - 8:30 pm		LATX7514	Propulsion technology	Rm 103 Main Bldg.
				Propulsion technology	Rm 167 Main Bldg.
Dec 11 THU	6:30 pm - 8:30 pm		MEBS6019	Extra-low-voltage electrical systems in buildings	Loke Yew Hall
Dec 12 FRI	6:30 pm - 8:30 pm		CIVL6014	Construction dispute resolution	Multi-purpose Zone, Level 3, Main Library
Dec 12 FRI	6:30 pm - 8:30 pm		CIVL6050	Urban hydrology and hydraulics	Rm 167 Main Bldg.
