Faculty of Architecture Postgraduate Courses Examination                         Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 8 MON	6:30 pm - 9:30 pm		RECO6042	Law for the real estate and construction industry	Rm 217 Main Bldg.
				Law for the real estate and construction industry	Rm 218 Main Bldg.
Dec 10 WED	6:30 pm - 8:30 pm		RECO7074	Management theory and projects	CPD-LG.07-10, Centennial Campus
Dec 11 THU	6:30 pm - 8:30 pm		RECO6039	Planning and building development	Loke Yew Hall
Dec 12 FRI	6:30 pm - 8:30 pm		MHMP8009	Principles of Law	Multi-purpose Zone, Level 3, Main Library
Dec 15 MON	6:30 pm - 9:30 pm		RECO6032	Law and practice of arbitration	Rm 237 Main Bldg.
Dec 16 TUE	6:30 pm - 8:30 pm		RECO7610	Virtual facilities management	Rm 167 Main Bldg.
Dec 17 WED	2:30 pm - 5:00 pm		URBP6911	Foundation course on statistics and quantitative methods	Multi-purpose Zone, Level 3, Main Library
Dec 20 SAT	9:30 am - 12:30 pm		RECO7096	Information management in construction	Rm 256 Main Bldg.
Dec 20 SAT	9:30 am - 12:30 pm		RECO7605	Information management	Rm 201 Main Bldg.
