M.Phil/Ph.D.                                                                     Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 12:30 pm		BSTC7008	Sanskrit I	Rm 7 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		MECH7014	Railway engineering – metro and high-speed rail	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 6 SAT	6:30 pm - 8:30 pm		ELEC6604	Neural networks, fuzzy systems and genetic algorithms	Rm 6 Library Ext.
				Neural networks, fuzzy systems and genetic algorithms	Rm 7 Library Ext.
Dec 8 MON	6:30 pm - 8:30 pm		DASE7015	Engineering economics and finance	Loke Yew Hall
Dec 8 MON	6:30 pm - 9:30 pm		ELEC8507	Convex programming and applications	Rm 6 Library Ext.
Dec 8 MON	6:30 pm - 8:30 pm		PHYS1250	Fundamental physics	CPD-LG.07-10, Centennial Campus
Dec 9 TUE	2:30 pm - 4:30 pm		CHEM6117	Modern Chemical Instrumentation and Applications	Rm 218 Main Bldg.
Dec 9 TUE	2:30 pm - 4:30 pm		DASE7505	Intelligent unmanned systems	Rm 4 Library Ext.
				Intelligent unmanned systems	Rm 5 Library Ext.
Dec 9 TUE	2:30 pm - 4:30 pm		PHYS8653	Selected topics in high energy astrophysics and cosmology	Rm 5 Library Ext.
Dec 9 TUE	6:30 pm - 8:30 pm		CIVL6077	Ground investigation and soil testing	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 TUE	6:30 pm - 8:30 pm		CIVL7021	NEC contract management	Loke Yew Hall
Dec 10 WED	2:30 pm - 4:30 pm		DASE7222	Decision analytics in global logistics	Rm 4 Library Ext.
				Decision analytics in global logistics	Rm 5 Library Ext.
Dec 10 WED	6:30 pm - 8:30 pm		CIVL6025	Environmental impact assessment of engineering projects	CPD-LG.07-10, Centennial Campus
Dec 10 WED	6:30 pm - 8:30 pm		ELEC6085	The role of a computerized SCADA system in power system operation	CPD-LG.07-10, Centennial Campus
Dec 10 WED	6:30 pm - 8:30 pm		MECH6017	Noise and vibration	Multi-purpose Zone, Level 3, Main Library
Dec 10 WED	6:30 pm - 8:30 pm		MECH6045	Nanotechnology: fundamentals and applications	Multi-purpose Zone, Level 3, Main Library
Dec 11 THU	9:30 am - 12:30 pm		PHYS8351	Graduate Quantum Mechanics	Rm 4 Library Ext.
Dec 11 THU	6:30 pm - 8:30 pm		CIVL6026	Finite element method	Rm 217 Main Bldg.
Dec 11 THU	6:30 pm - 8:30 pm		DASE7150	Frontiers in data and systems engineering A	Loke Yew Hall
Dec 12 FRI	6:30 pm - 8:30 pm		CIVL6014	Construction dispute resolution	Multi-purpose Zone, Level 3, Main Library
Dec 12 FRI	6:30 pm - 8:30 pm		CIVL6050	Urban hydrology and hydraulics	Rm 167 Main Bldg.
Dec 12 FRI	6:30 pm - 8:30 pm		CIVL7023	Industrialized construction with automation and robotics	Rm 217 Main Bldg.
Dec 12 FRI	6:30 pm - 8:30 pm		DASE7902	Project management	Multi-purpose Zone, Level 3, Main Library
Dec 12 FRI	6:30 pm - 8:30 pm		ELEC7043	Digital image processing and computer vision	CPD-LG.07-10, Centennial Campus
Dec 12 FRI	6:30 pm - 8:30 pm		EMEE6005	Renewable energy technology I: Fundamental	Loke Yew Hall
Dec 12 FRI	6:30 pm - 8:30 pm		MECH6046	Microsystems for energy, biomedical and consumer electronics applications	CPD-LG.07-10, Centennial Campus
Dec 13 SAT	9:30 am - 11:30 am		MMPH6002	Introduction to Biostatistics	Multi-purpose Zone, Level 3, Main Library
Dec 13 SAT	2:30 pm - 4:30 pm		ELEC6080	Telecommunications systems and management	Rm 201 Main Bldg.
				Telecommunications systems and management	Rm 218 Main Bldg.
