MSc(Eng)(IEM) Examination                                                        Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:30 am		CIVL6037	Project management - human and organisational factors	Rm 217 Main Bldg.
				Project management - human and organisational factors	Rm 218 Main Bldg.
Dec 9 TUE	6:30 pm - 8:30 pm		CIVL6060	Operation and maintenance of building and civil engineering works	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 TUE	6:30 pm - 8:30 pm		COMP7802	Introduction to financial computing	Multi-purpose Zone, Level 3, Main Library
Dec 10 WED	6:30 pm - 8:30 pm		CIVL6025	Environmental impact assessment of engineering projects	CPD-LG.07-10, Centennial Campus
Dec 12 FRI	6:30 pm - 8:30 pm		CIVL6014	Construction dispute resolution	Multi-purpose Zone, Level 3, Main Library
Dec 12 FRI	6:30 pm - 8:30 pm		CIVL7023	Industrialized construction with automation and robotics	Rm 217 Main Bldg.
Dec 15 MON	6:30 pm - 8:30 pm		CIVL6045	Tall building structures	CPD-LG.07-10, Centennial Campus
Dec 15 MON	6:30 pm - 8:30 pm		CIVL7024	Computer vision for infrastructure construction and management	CPD-LG.07-10, Centennial Campus
Dec 17 WED	6:30 pm - 8:30 pm		CIVL6004	Advanced soil mechanics	Multi-purpose Zone, Level 3, Main Library
Dec 18 THU	6:30 pm - 8:30 pm		CIVL6054	Engineering for transport systems	Multi-purpose Zone, Level 3, Main Library
Dec 19 FRI	6:30 pm - 8:30 pm		CIVL7019	Statistical methods for civil engineering	CPD-LG.07-10, Centennial Campus
Dec 22 MON	2:30 pm - 4:30 pm		CIVL6061	Special topic in environmental engineering A	CPD-LG.07-10, Centennial Campus
