MSc(FTDA) Examination                                                            Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 4 THU	6:30 pm - 8:30 pm		ECOM6023	E-financial services	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 6 SAT	2:30 pm - 4:30 pm		STAT6013	Financial data analysis	Rm 217 Main Bldg.
				Financial data analysis	Rm 218 Main Bldg.
Dec 9 TUE	6:30 pm - 8:30 pm		COMP7802	Introduction to financial computing	Multi-purpose Zone, Level 3, Main Library
Dec 10 WED	6:30 pm - 8:30 pm		DASC7606	Deep learning	Loke Yew Hall
				Deep learning	Rm 103 Main Bldg.
				Deep learning	Rm 105 Chong Yuet Ming Amenities Ctr.
				Deep learning	Rm 167 Main Bldg.
Dec 11 THU	6:30 pm - 8:30 pm		COMP7103	Data mining	CPD-LG.07-10, Centennial Campus
				Data mining	CPD-LG.60, Centennial Campus
				Data mining	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 13 SAT	6:30 pm - 8:30 pm		FITE7410	Financial fraud analytics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Financial fraud analytics	Rm 2 Library Ext.
				Financial fraud analytics	Rm 3 Library Ext.
Dec 15 MON	6:30 pm - 8:30 pm		DASE7310	Financial engineering	Loke Yew Hall
Dec 15 MON	6:30 pm - 8:30 pm		FITE7407	Securities transaction banking	Loke Yew Hall
Dec 17 WED	6:30 pm - 8:30 pm		COMP7906	Introduction to cyber security	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 19 FRI	6:30 pm - 8:30 pm		COMP7404	Computational intelligence and machine learning	CPD-LG.07-10, Centennial Campus
