MStat Examination                                                                Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 4 THU	6:30 pm - 8:30 pm		DASC7104	Advanced database systems	Loke Yew Hall
Dec 6 SAT	2:30 pm - 4:30 pm		STAT6013	Financial data analysis	Rm 217 Main Bldg.
				Financial data analysis	Rm 218 Main Bldg.
Dec 8 MON	6:30 pm - 9:00 pm		STAT7005	Multivariate methods	Rm 237 Main Bldg.
Dec 9 TUE	6:30 pm - 8:30 pm		COMP7802	Introduction to financial computing	Multi-purpose Zone, Level 3, Main Library
Dec 9 TUE	6:30 pm - 8:30 pm		STAT8016	Biostatistics	CPD-LG.07-10, Centennial Campus
Dec 11 THU	6:30 pm - 8:30 pm		STAT8019	Marketing analytics	Loke Yew Hall
Dec 13 SAT	9:30 am - 11:30 am		STAT8003	Time series forecasting	Rm 4 Library Ext.
				Time series forecasting	Rm 5 Library Ext.
Dec 15 MON	6:30 pm - 8:30 pm		STAT6016	Spatial data analysis	Loke Yew Hall
Dec 16 TUE	6:30 pm - 8:30 pm		STAT7101	Fundamentals of statistical inference	CPD-LG.07-10, Centennial Campus
Dec 17 WED	6:30 pm - 8:30 pm		STAT8007	Statistical methods in economics and finance	Loke Yew Hall
Dec 19 FRI	9:30 am - 11:30 am		STAT6009	Research methods in statistics	Rm 103 Main Bldg.
Dec 20 SAT	2:30 pm - 5:30 pm		COMP7309	Quantum computing and artificial intelligence	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 22 MON	9:30 am - 11:30 am		STAT6008	Advanced statistical inference	Rm 5 Library Ext.
Dec 23 TUE	9:30 am - 11:30 am		STAT6011	Computational Statistics and Bayesian Learning	Multi-purpose Zone, Level 3, Main Library
