BA(LS) Examination                                                               Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 12 TUE	2:30 pm - 4:30 pm		GEOG2160	Sustainable Waste Management and Circular Economy in Hong Kong	Rm 2 Library Ext.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 15 FRI	9:30 am - 11:30 am		GEOG1016	Nature conservation for sustainable societies	Multi-purpose Zone, Level 3, Main Library
				Nature conservation for sustainable societies	Rm 2 Library Ext.
				Nature conservation for sustainable societies	Rm 3 Library Ext.
				Nature conservation for sustainable societies	Rm 4 Library Ext.
May 18 MON	2:30 pm - 4:30 pm		BBMS1001	Introduction to Human Anatomy and Physiology	Rm 7 Library Ext.
May 19 TUE	9:30 am - 11:30 am		CHIN1107	Creative writing	Rm 217 Main Bldg.
May 19 TUE	2:30 pm - 4:00 pm		GEOG1020	Modern Maps in the Age of Big Data	Multi-purpose Zone, Level 3, Main Library
				Modern Maps in the Age of Big Data	Rm 2 Library Ext.
				Modern Maps in the Age of Big Data	Rm 3 Library Ext.
May 21 THU	9:30 am - 11:30 am		CARC9001	Practical Chinese for Architecture and Landscape Students	Rm 201 Main Bldg.
May 26 TUE	9:30 am - 11:30 am		BIOL1309	Evolutionary diversity	Rm 217 Main Bldg.
				Evolutionary diversity	Rm 218 Main Bldg.
May 26 TUE	9:30 am - 12:30 pm		MECH2406	Fundamentals of electrical engineering	CPD-LG.07-10, Centennial Campus
