BA&BEd(LangEd-Chin) Examination                                                  Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 13 WED	9:30 am - 11:30 am		CHIN2145	Chinese theatre during the Yuan, Ming, and Qing periods	Rm 5 Library Ext.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 16 SAT	2:30 pm - 4:30 pm		CHIN1126	Introduction to classical Chinese popular literature	Rm 5 Library Ext.
May 18 MON	9:30 am - 11:30 am		CHIN1117	General introduction to classical Chinese language	Rm 201 Main Bldg.
May 19 TUE	9:30 am - 11:30 am		CHIN1107	Creative writing	Rm 217 Main Bldg.
May 19 TUE	2:30 pm - 4:00 pm		GEOG1020	Modern Maps in the Age of Big Data	Multi-purpose Zone, Level 3, Main Library
				Modern Maps in the Age of Big Data	Rm 2 Library Ext.
				Modern Maps in the Age of Big Data	Rm 3 Library Ext.
May 19 TUE	2:30 pm - 4:30 pm		SOCI2080	Media and culture in modern societies	Rm 105 Chong Yuet Ming Amenities Ctr.
May 20 WED	9:30 am - 11:30 am		CHIN1103	Introduction to standard works in modern Chinese literature	Rm 103 Main Bldg.
				Introduction to standard works in modern Chinese literature	Rm 167 Main Bldg.
May 22 FRI	2:30 pm - 4:30 pm		SOCI1001	Introduction to sociology	Loke Yew Hall
				Introduction to sociology	Rm 167 Main Bldg.
May 26 TUE	9:30 am - 11:30 am		CHIN1119	Introduction to literary studies	Rm 201 Main Bldg.
May 26 TUE	2:30 pm - 4:30 pm		CHIN2172	Hong Kong literature	Rm 167 Main Bldg.
May 26 TUE	2:30 pm - 4:30 pm		HKGS2014	Hong Kong literature	Rm 167 Main Bldg.
