BASc(GHD) Examination                                                            Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	9:30 am - 11:30 am		ECON1280	Analysis of economic data	CPD-LG.07-10, Centennial Campus
				Analysis of economic data	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	9:30 am - 11:30 am		FINA2320	Investments and portfolio analysis	CPD-LG.07-10, Centennial Campus
				Investments and portfolio analysis	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Investments and portfolio analysis	CPD-LG.63, Centennial Campus
May 12 TUE	2:30 pm - 4:30 pm		GEOG2160	Sustainable Waste Management and Circular Economy in Hong Kong	Rm 2 Library Ext.
May 12 TUE	2:30 pm - 4:30 pm		GHAD2003	Global health governance	Rm 167 Main Bldg.
May 13 WED	9:30 am - 11:30 am		ECON1220	Introductory macroeconomics	CPD-LG.07-10, Centennial Campus
				Introductory macroeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory macroeconomics	Loke Yew Hall
				Introductory macroeconomics	Multi-purpose Zone, Level 3, Main Library
May 13 WED	9:30 am - 11:30 am		GEOG3304	Tourism policy and planning	Rm 4 Library Ext.
May 13 WED	9:30 am - 11:30 am		SOCI3105	Global Criminology	Rm 3 Library Ext.
May 13 WED	2:30 pm - 4:00 pm		BIOL1110	From molecules to cells	Rm 6 Library Ext.
				From molecules to cells	Rm 7 Library Ext.
				From molecules to cells	Rm 8 Library Ext.
May 13 WED	2:30 pm - 5:00 pm		BUSI3803	Company law	Rm 3 Library Ext.
May 14 THU	9:30 am - 11:30 am		ECON2262	Economic development	Rm 4 Library Ext.
May 14 THU	9:30 am - 11:30 am		GEOG2152	Health and medical geography	Rm 2 Library Ext.
				Health and medical geography	Rm 3 Library Ext.
May 14 THU	2:30 pm - 4:00 pm		BIOF2001	Artificial Intelligence in Medicine	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 15 FRI	9:30 am - 11:30 am		GEOG1016	Nature conservation for sustainable societies	Multi-purpose Zone, Level 3, Main Library
				Nature conservation for sustainable societies	Rm 2 Library Ext.
				Nature conservation for sustainable societies	Rm 3 Library Ext.
				Nature conservation for sustainable societies	Rm 4 Library Ext.
May 16 SAT	9:30 am - 11:30 am		BBMS2011	Research Methods in Medicine and Health Sciences	Rm 6 Library Ext.
				Research Methods in Medicine and Health Sciences	Rm 7 Library Ext.
May 16 SAT	9:30 am - 11:30 am		FINA1310	Corporate finance	CPD-LG.07-10, Centennial Campus
				Corporate finance	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Corporate finance	Loke Yew Hall
May 16 SAT	9:30 am - 11:30 am		GHAD4002	The role and impact of private sector in health and development	Rm 7 Library Ext.
May 16 SAT	2:30 pm - 4:30 pm		GEOG2128	Economic geography	Rm 2 Library Ext.
May 18 MON	9:30 am - 12:00 noon		MATH1009	Basic mathematics for business and economics	Loke Yew Hall
May 18 MON	9:30 am - 11:30 am		SOCI2071	Criminology	Rm 8 Library Ext.
				Criminology	Rm 9 Library Ext.
May 18 MON	2:30 pm - 4:30 pm		BBMS1001	Introduction to Human Anatomy and Physiology	Rm 7 Library Ext.
May 19 TUE	9:30 am - 11:00 am		IIMT2601	Management information systems	Rm 105 Chong Yuet Ming Amenities Ctr.
				Management information systems	Rm 302 Chong Yuet Ming Amenities Ctr.
May 19 TUE	9:30 am - 11:30 am		SOCI3011	Gender and crime	Rm 218 Main Bldg.
May 19 TUE	2:30 pm - 4:00 pm		GEOG1020	Modern Maps in the Age of Big Data	Multi-purpose Zone, Level 3, Main Library
				Modern Maps in the Age of Big Data	Rm 2 Library Ext.
				Modern Maps in the Age of Big Data	Rm 3 Library Ext.
May 19 TUE	2:30 pm - 4:30 pm		GEOG2124	Environmental change and socio-political conflicts	Rm 105 Chong Yuet Ming Amenities Ctr.
May 19 TUE	2:30 pm - 4:30 pm		SOCI2080	Media and culture in modern societies	Rm 105 Chong Yuet Ming Amenities Ctr.
May 20 WED	9:30 am - 11:30 am		GEOG3203	Climate change and the environment	Rm 237 Main Bldg.
May 20 WED	2:30 pm - 4:30 pm		COMP1117	Computer programming	Loke Yew Hall
				Computer programming	Rm 103 Main Bldg.
				Computer programming	Rm 167 Main Bldg.
May 20 WED	2:30 pm - 4:30 pm		GEOG3422	Contemporary urban transportation issues	Rm 8 Library Ext.
May 20 WED	2:30 pm - 4:30 pm		POLI2106	Introduction to international relations	Rm 2 Library Ext.
				Introduction to international relations	Rm 3 Library Ext.
May 20 WED	2:30 pm - 4:30 pm		POLI3037	Managing people in public organizations	Rm 4 Library Ext.
May 21 THU	9:30 am - 10:30 am		BIOL2103	Biological sciences laboratory course	Rm 105 Chong Yuet Ming Amenities Ctr.
May 21 THU	9:30 am - 11:30 am		BIOL3218	Global food safety	Rm 3 Library Ext.
May 21 THU	9:30 am - 11:30 am		CEMD9001	Practical Chinese for BASc (GHD) Students	Rm 237 Main Bldg.
May 21 THU	9:30 am - 11:30 am		IIMT2641	Introduction to business analytics	CPD-LG.07-10, Centennial Campus
May 21 THU	2:30 pm - 4:00 pm		GEOG1021	Geographic issues of Polar Regions	Rm 217 Main Bldg.
				Geographic issues of Polar Regions	Rm 218 Main Bldg.
May 21 THU	2:30 pm - 4:30 pm		GHAD1002	Introductory economics and finance	Rm 3 Library Ext.
May 22 FRI	9:30 am - 11:30 am		GEOG2078	Cities and the urban world: A global introduction to urban geography	Rm 2 Library Ext.
May 22 FRI	9:30 am - 12:00 noon		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
May 22 FRI	2:30 pm - 4:30 pm		GHAD1003	Health systems and financing	Rm 9 Library Ext.
May 22 FRI	2:30 pm - 4:30 pm		GHAD3002	Health systems and financing	Rm 9 Library Ext.
May 22 FRI	2:30 pm - 4:30 pm		SOCI1001	Introduction to sociology	Loke Yew Hall
				Introduction to sociology	Rm 167 Main Bldg.
May 23 SAT	9:30 am - 11:30 am		CCST9012	Our Place in the Universe	Loke Yew Hall
May 23 SAT	2:30 pm - 4:30 pm		GEOG2057	Leisure and recreation in modern society	Rm 8 Library Ext.
May 23 SAT	2:30 pm - 4:30 pm		PSYC1001	Introduction to psychology	Multi-purpose Zone, Level 3, Main Library
May 26 TUE	2:30 pm - 4:30 pm		CUND9001	Basic Spoken and Written Cantonese for Mandarin Speakers	CPD-LG.07-10, Centennial Campus
May 26 TUE	2:30 pm - 4:00 pm		CUND9003	Cantonese for Non-Cantonese Speaking Students	Multi-purpose Zone, Level 3, Main Library
