BASc Examination                                                                 Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	2:30 pm - 4:30 pm		ENVS2002	Environmental data analysis	Rm 4 Library Ext.
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 11:30 am		FINA2320	Investments and portfolio analysis	CPD-LG.07-10, Centennial Campus
				Investments and portfolio analysis	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Investments and portfolio analysis	CPD-LG.63, Centennial Campus
May 12 TUE	2:30 pm - 4:30 pm		GEOG2160	Sustainable Waste Management and Circular Economy in Hong Kong	Rm 2 Library Ext.
May 13 WED	9:30 am - 11:30 am		ECON1220	Introductory macroeconomics	CPD-LG.07-10, Centennial Campus
				Introductory macroeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory macroeconomics	Loke Yew Hall
				Introductory macroeconomics	Multi-purpose Zone, Level 3, Main Library
May 13 WED	9:30 am - 11:30 am		SOCI3105	Global Criminology	Rm 3 Library Ext.
May 14 THU	9:30 am - 11:30 am		BBMS2005	Biomedical Pharmacology	Rm 7 Library Ext.
				Biomedical Pharmacology	Rm 8 Library Ext.
May 14 THU	9:30 am - 11:30 am		CART9001	Practical Chinese for Arts Students	Loke Yew Hall
				Practical Chinese for Arts Students	Rm 103 Main Bldg.
May 14 THU	9:30 am - 12:00 noon		MATH3304	Introduction to number theory	Rm 237 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 16 SAT	9:30 am - 11:30 am		FINA1310	Corporate finance	CPD-LG.07-10, Centennial Campus
				Corporate finance	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Corporate finance	Loke Yew Hall
May 16 SAT	6:30 pm - 7:30 pm		CSSC9001	Practical Chinese for Social Sciences Students	Rm 105 Chong Yuet Ming Amenities Ctr.
May 18 MON	9:30 am - 11:30 am		GEOG2156	Introduction to Remote Sensing	Rm 5 Library Ext.
May 18 MON	9:30 am - 11:30 am		SOCI2071	Criminology	Rm 8 Library Ext.
				Criminology	Rm 9 Library Ext.
May 18 MON	2:30 pm - 4:30 pm		BBMS1001	Introduction to Human Anatomy and Physiology	Rm 7 Library Ext.
May 19 TUE	9:30 am - 11:30 am		SCNC1112	Fundamentals of modern science	Multi-purpose Zone, Level 3, Main Library
				Fundamentals of modern science	Rm 6 Library Ext.
May 19 TUE	2:30 pm - 4:00 pm		GEOG1020	Modern Maps in the Age of Big Data	Multi-purpose Zone, Level 3, Main Library
				Modern Maps in the Age of Big Data	Rm 2 Library Ext.
				Modern Maps in the Age of Big Data	Rm 3 Library Ext.
May 19 TUE	2:30 pm - 4:30 pm		SOCI2080	Media and culture in modern societies	Rm 105 Chong Yuet Ming Amenities Ctr.
May 19 TUE	2:30 pm - 4:30 pm		SOCI3056	Criminal justice: policy and practice	Rm 302 Chong Yuet Ming Amenities Ctr.
May 20 WED	9:30 am - 11:30 am		CHIN1103	Introduction to standard works in modern Chinese literature	Rm 103 Main Bldg.
				Introduction to standard works in modern Chinese literature	Rm 167 Main Bldg.
May 20 WED	9:30 am - 10:30 am		ENVS1301	Environmental life science	Rm 201 Main Bldg.
				Environmental life science	Rm 256 Main Bldg.
May 20 WED	9:30 am - 11:30 am		SOCI2001	Classical social theory	Rm 4 Library Ext.
				Classical social theory	Rm 5 Library Ext.
May 20 WED	2:30 pm - 4:30 pm		POLI2106	Introduction to international relations	Rm 2 Library Ext.
				Introduction to international relations	Rm 3 Library Ext.
May 21 THU	9:30 am - 11:30 am		CCCH9002	Chinese Cities in the 21st Century	Rm 103 Main Bldg.
May 21 THU	9:30 am - 11:30 am		CUND9004	Practical Applied Chin Writing & Effective Presentation Skills for Non-local Mandarin Speaking Stu	Rm 237 Main Bldg.
May 21 THU	9:30 am - 11:30 am		EASC1403	Geological heritage of Hong Kong	Rm 4 Library Ext.
May 21 THU	2:30 pm - 4:30 pm		CHEM1042	General chemistry I	Loke Yew Hall
May 22 FRI	9:30 am - 11:30 am		SOCI3081	Sexuality, culture and identity	Rm 2 Library Ext.
May 22 FRI	2:30 pm - 4:30 pm		STAT1600	Statistics: ideas and concepts	CPD-LG.07-10, Centennial Campus
May 23 SAT	2:30 pm - 5:00 pm		MATH2211	Multivariable calculus	Loke Yew Hall
May 26 TUE	2:30 pm - 4:00 pm		CUND9003	Cantonese for Non-Cantonese Speaking Students	Multi-purpose Zone, Level 3, Main Library
May 26 TUE	2:30 pm - 4:30 pm		HKGS2014	Hong Kong literature	Rm 167 Main Bldg.
