BBiomedSc Examination                                                            Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	2:30 pm - 4:30 pm		BIOC3605	Sequence bioinformatics	Rm 8 Library Ext.
				Sequence bioinformatics	Rm 9 Library Ext.
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 11:30 am		FINA2320	Investments and portfolio analysis	CPD-LG.07-10, Centennial Campus
				Investments and portfolio analysis	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Investments and portfolio analysis	CPD-LG.63, Centennial Campus
May 12 TUE	9:30 am - 11:30 am		PHYS1150	Problem solving in physics	Rm 7 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1650	Nature of the universe	Rm 6 Library Ext.
May 12 TUE	2:30 pm - 4:30 pm		BBMS1011	Fundamental Biomedical Laboratory Techniques	Rm 105 Chong Yuet Ming Amenities Ctr.
May 12 TUE	2:30 pm - 5:00 pm		BBMS2003	Human and Clinical Genetics	Rm 6 Library Ext.
				Human and Clinical Genetics	Rm 7 Library Ext.
May 12 TUE	2:30 pm - 4:30 pm		BBMS3003	Mechanisms and Pathology of Diseases	Rm 105 Chong Yuet Ming Amenities Ctr.
May 12 TUE	2:30 pm - 4:30 pm		GEOG2160	Sustainable Waste Management and Circular Economy in Hong Kong	Rm 2 Library Ext.
May 12 TUE	6:30 pm - 9:30 pm		COMP2120	Computer organization	CPD-LG.07-10, Centennial Campus
				Computer organization	CPD-LG.63, Centennial Campus
May 13 WED	9:30 am - 12:30 pm		CHEM3441	Organic chemistry II	Rm 201 Main Bldg.
May 13 WED	9:30 am - 11:30 am		GEOG3304	Tourism policy and planning	Rm 4 Library Ext.
May 13 WED	9:30 am - 11:30 am		PHYS3653	Astrophysics	Rm 2 Library Ext.
May 13 WED	9:30 am - 11:30 am		SOCI3105	Global Criminology	Rm 3 Library Ext.
May 13 WED	2:30 pm - 5:00 pm		BBMS3004	Molecular Diagnostics Laboratory	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 14 THU	9:30 am - 11:30 am		BBMS2005	Biomedical Pharmacology	Rm 7 Library Ext.
				Biomedical Pharmacology	Rm 8 Library Ext.
May 14 THU	9:30 am - 11:30 am		BBMS3005	Infection and Immunity	Rm 8 Library Ext.
May 14 THU	9:30 am - 11:30 am		BBMS4005	Biopharmaceutical Research and Development	Rm 6 Library Ext.
May 14 THU	9:30 am - 11:30 am		GEOG2152	Health and medical geography	Rm 2 Library Ext.
				Health and medical geography	Rm 3 Library Ext.
May 14 THU	2:30 pm - 4:00 pm		BBMS2021	Artificial Intelligence in Medicine	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 5:30 pm		BIOC3606	Molecular medicine	Rm 9 Library Ext.
May 14 THU	2:30 pm - 4:00 pm		BIOF2001	Artificial Intelligence in Medicine	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 4:30 pm		BIOL3404	Protein structure and function	Rm 201 Main Bldg.
				Protein structure and function	Rm 256 Main Bldg.
May 14 THU	2:30 pm - 4:30 pm		CHEM1044	Mathematics in chemistry	Rm 217 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 15 FRI	9:30 am - 11:30 am		GEOG1016	Nature conservation for sustainable societies	Multi-purpose Zone, Level 3, Main Library
				Nature conservation for sustainable societies	Rm 2 Library Ext.
				Nature conservation for sustainable societies	Rm 3 Library Ext.
				Nature conservation for sustainable societies	Rm 4 Library Ext.
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 15 FRI	2:30 pm - 4:30 pm		BIOC4612	Molecular biology of the gene	Rm 9 Library Ext.
May 15 FRI	6:30 pm - 8:30 pm		CCCH9028	Hong Kong and China's Economic Development	Rm 105 Chong Yuet Ming Amenities Ctr.
May 16 SAT	9:30 am - 11:30 am		BBMS2011	Research Methods in Medicine and Health Sciences	Rm 6 Library Ext.
				Research Methods in Medicine and Health Sciences	Rm 7 Library Ext.
