BEng(BME) Examination                                                            Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	2:30 pm - 4:30 pm		BIOC3605	Sequence bioinformatics	Rm 8 Library Ext.
				Sequence bioinformatics	Rm 9 Library Ext.
May 11 MON	2:30 pm - 5:30 pm		BMED2810	Engineering management and society	Rm 105 Chong Yuet Ming Amenities Ctr.
May 11 MON	2:30 pm - 5:30 pm		BMED3603	Statistics and mathematical analysis for biomedical engineering	Rm 217 Main Bldg.
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 11:30 am		FINA2320	Investments and portfolio analysis	CPD-LG.07-10, Centennial Campus
				Investments and portfolio analysis	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Investments and portfolio analysis	CPD-LG.63, Centennial Campus
May 12 TUE	9:30 am - 12:30 pm		MECH1350	Introduction of mechanical engineering	Rm 3 Library Ext.
				Introduction of mechanical engineering	Rm 4 Library Ext.
May 12 TUE	2:30 pm - 5:30 pm		BMED2302	Life sciences II (Cell Biology & Physiology)	Rm 3 Library Ext.
May 13 WED	9:30 am - 12:30 pm		BMED2600	Biomechanics for biomedical engineering	Rm 6 Library Ext.
May 13 WED	9:30 am - 11:30 am		ECON1220	Introductory macroeconomics	CPD-LG.07-10, Centennial Campus
				Introductory macroeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory macroeconomics	Loke Yew Hall
				Introductory macroeconomics	Multi-purpose Zone, Level 3, Main Library
May 13 WED	9:30 am - 11:30 am		PHYS3653	Astrophysics	Rm 2 Library Ext.
May 13 WED	2:30 pm - 4:00 pm		BIOL1110	From molecules to cells	Rm 6 Library Ext.
				From molecules to cells	Rm 7 Library Ext.
				From molecules to cells	Rm 8 Library Ext.
May 14 THU	9:30 am - 12:30 pm		MATH1853	Linear algebra, probability and statistics	CPD-LG.07-10, Centennial Campus
				Linear algebra, probability and statistics	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 15 FRI	9:30 am - 11:30 am		GEOG1016	Nature conservation for sustainable societies	Multi-purpose Zone, Level 3, Main Library
				Nature conservation for sustainable societies	Rm 2 Library Ext.
				Nature conservation for sustainable societies	Rm 3 Library Ext.
				Nature conservation for sustainable societies	Rm 4 Library Ext.
May 15 FRI	9:30 am - 12:30 pm		MECH2407	Multivariable calculus and partial differential equations	Rm 105 Chong Yuet Ming Amenities Ctr.
				Multivariable calculus and partial differential equations	Rm 302 Chong Yuet Ming Amenities Ctr.
May 15 FRI	9:30 am - 11:30 am		PHYS2055	Introductory relativity	Rm 103 Main Bldg.
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 15 FRI	2:30 pm - 5:30 pm		ELEC3846	Numerical methods and optimization	Rm 5 Library Ext.
May 16 SAT	9:30 am - 12:30 pm		BMED3501	Medical imaging	Rm 9 Library Ext.
May 16 SAT	9:30 am - 11:30 am		COMP2501	Introduction to data science	Multi-purpose Zone, Level 3, Main Library
May 16 SAT	9:30 am - 11:30 am		FINA1310	Corporate finance	CPD-LG.07-10, Centennial Campus
				Corporate finance	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Corporate finance	Loke Yew Hall
May 16 SAT	2:30 pm - 5:30 pm		ELEC3244	Digital signal processing	CPD-LG.60, Centennial Campus
May 16 SAT	2:30 pm - 4:30 pm		ENGG1300	Fundamental mechanics	Loke Yew Hall
				Fundamental mechanics	Rm 103 Main Bldg.
May 16 SAT	6:30 pm - 9:30 pm		MECH2414	Thermofluids	Rm 2 Library Ext.
				Thermofluids	Rm 3 Library Ext.
May 18 MON	9:30 am - 12:00 noon		MATH2014	Multivariable calculus and linear algebra	CPD-LG.07-10, Centennial Campus
				Multivariable calculus and linear algebra	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 18 MON	2:30 pm - 5:30 pm		MATH1851	Calculus and ordinary differential equations	Loke Yew Hall
				Calculus and ordinary differential equations	Rm 103 Main Bldg.
