BEng(DASE) Examination                                                           Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	2:30 pm - 5:30 pm		DASE2135	Mathematical Optimisation	Rm 103 Main Bldg.
May 12 TUE	2:30 pm - 5:30 pm		DASE2144	Fundamentals of robotics	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	6:30 pm - 9:30 pm		COMP2120	Computer organization	CPD-LG.07-10, Centennial Campus
				Computer organization	CPD-LG.63, Centennial Campus
May 13 WED	9:30 am - 12:30 pm		CIVL1105	Environmental Engineering	Rm 237 Main Bldg.
May 14 THU	9:30 am - 12:30 pm		MATH1853	Linear algebra, probability and statistics	CPD-LG.07-10, Centennial Campus
				Linear algebra, probability and statistics	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 15 FRI	9:30 am - 11:30 am		DASE3107	Systems modeling & simulation	Rm 167 Main Bldg.
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 15 FRI	6:30 pm - 8:30 pm		CCCH9028	Hong Kong and China's Economic Development	Rm 105 Chong Yuet Ming Amenities Ctr.
May 16 SAT	2:30 pm - 4:30 pm		ENGG1300	Fundamental mechanics	Loke Yew Hall
				Fundamental mechanics	Rm 103 Main Bldg.
May 18 MON	2:30 pm - 5:30 pm		MATH1851	Calculus and ordinary differential equations	Loke Yew Hall
				Calculus and ordinary differential equations	Rm 103 Main Bldg.
				Calculus and ordinary differential equations	Rm 167 Main Bldg.
May 19 TUE	9:30 am - 12:30 pm		ENGG1310	Electricity and electronics	Loke Yew Hall
				Electricity and electronics	Rm 103 Main Bldg.
May 19 TUE	2:30 pm - 4:30 pm		DASE3126	Engineers in society	Rm 5 Library Ext.
May 21 THU	9:30 am - 11:30 am		CCCH9002	Chinese Cities in the 21st Century	Rm 103 Main Bldg.
May 21 THU	2:30 pm - 4:30 pm		ENGG1330	Computer programming I	CPD-LG.07-10, Centennial Campus
May 22 FRI	9:30 am - 12:00 noon		MATH1011	University mathematics I	CPD-LG.07-10, Centennial Campus
May 22 FRI	2:30 pm - 4:30 pm		SDST1600	Statistics: Ideas and Concepts	CPD-LG.07-10, Centennial Campus
May 23 SAT	9:30 am - 11:30 am		PHYS1055	How things work	Multi-purpose Zone, Level 3, Main Library
May 26 TUE	2:30 pm - 4:30 pm		CUND9001	Basic Spoken and Written Cantonese for Mandarin Speakers	CPD-LG.07-10, Centennial Campus
