BEng(EngSc) Examination                                                          Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	9:30 am - 11:30 am		ECON1280	Analysis of economic data	CPD-LG.07-10, Centennial Campus
				Analysis of economic data	Multi-purpose Zone, Level 3, Main Library
May 11 MON	9:30 am - 11:30 am		STAT2601	Probability and statistics I	Rm 105 Chong Yuet Ming Amenities Ctr.
May 11 MON	2:30 pm - 4:30 pm		BIOC3605	Sequence bioinformatics	Rm 8 Library Ext.
				Sequence bioinformatics	Rm 9 Library Ext.
May 11 MON	2:30 pm - 5:30 pm		BMED2810	Engineering management and society	Rm 105 Chong Yuet Ming Amenities Ctr.
May 11 MON	2:30 pm - 5:30 pm		COMP3251	Algorithm design	Loke Yew Hall
May 11 MON	2:30 pm - 4:30 pm		COMP3516	Data analytics for IoT	Rm 5 Library Ext.
May 11 MON	2:30 pm - 5:30 pm		DASE3111	Data-driven optimisation	Rm 167 Main Bldg.
May 11 MON	2:30 pm - 4:30 pm		FINA2312	Advanced corporate finance	Rm 2 Library Ext.
				Advanced corporate finance	Rm 3 Library Ext.
May 11 MON	6:30 pm - 8:30 pm		SOCI3021	Marriage and the family	Loke Yew Hall
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 12:30 pm		ELEC3142	Electrical energy conversion	Rm 2 Library Ext.
May 12 TUE	9:30 am - 11:30 am		FINA2320	Investments and portfolio analysis	CPD-LG.07-10, Centennial Campus
				Investments and portfolio analysis	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Investments and portfolio analysis	CPD-LG.63, Centennial Campus
May 12 TUE	9:30 am - 11:30 am		PHYS1650	Nature of the universe	Rm 6 Library Ext.
May 12 TUE	9:30 am - 11:30 am		STAT3610	Risk management and insurance	Rm 237 Main Bldg.
May 12 TUE	2:30 pm - 5:00 pm		BBMS2003	Human and Clinical Genetics	Rm 6 Library Ext.
				Human and Clinical Genetics	Rm 7 Library Ext.
May 12 TUE	2:30 pm - 5:00 pm		BIOC3604	Essential techniques in biochemistry and molecular biology	Rm 5 Library Ext.
May 12 TUE	2:30 pm - 5:30 pm		BMED2302	Life sciences II (Cell Biology & Physiology)	Rm 3 Library Ext.
May 12 TUE	2:30 pm - 4:30 pm		COMP3323	Advanced database systems	Rm 201 Main Bldg.
				Advanced database systems	Rm 256 Main Bldg.
May 12 TUE	2:30 pm - 5:30 pm		ELEC3241	Signals and linear systems	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	2:30 pm - 4:30 pm		GEOG2160	Sustainable Waste Management and Circular Economy in Hong Kong	Rm 2 Library Ext.
May 12 TUE	2:30 pm - 4:30 pm		IIMT3642	Managing and Mining Big Data	CPD-LG.60, Centennial Campus
				Managing and Mining Big Data	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 12 TUE	2:30 pm - 5:00 pm		MATH3911	Game theory and strategy	Rm 237 Main Bldg.
May 12 TUE	2:30 pm - 5:30 pm		MECH4407	CAD/CAM	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	6:30 pm - 9:30 pm		COMP2120	Computer organization	CPD-LG.07-10, Centennial Campus
				Computer organization	CPD-LG.63, Centennial Campus
May 13 WED	9:30 am - 12:30 pm		CIME2101	Water and Air Quality: Concepts and Measurement	Rm 8 Library Ext.
May 13 WED	9:30 am - 12:30 pm		CIVL1105	Environmental Engineering	Rm 237 Main Bldg.
May 13 WED	9:30 am - 11:30 am		ECON1220	Introductory macroeconomics	CPD-LG.07-10, Centennial Campus
				Introductory macroeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory macroeconomics	Loke Yew Hall
				Introductory macroeconomics	Multi-purpose Zone, Level 3, Main Library
May 13 WED	9:30 am - 12:30 pm		ELEC4141	Electric railway systems	Rm 9 Library Ext.
May 13 WED	2:30 pm - 5:30 pm		ELEC2245	Control systems I	Rm 5 Library Ext.
May 13 WED	2:30 pm - 5:00 pm		MATH3603	Probability theory	Rm 217 Main Bldg.
				Probability theory	Rm 237 Main Bldg.
May 14 THU	9:30 am - 12:30 pm		MATH1853	Linear algebra, probability and statistics	CPD-LG.07-10, Centennial Campus
				Linear algebra, probability and statistics	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 14 THU	2:30 pm - 4:00 pm		BIOF2001	Artificial Intelligence in Medicine	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 5:30 pm		CIVL2104	Hydraulics and Hydrology	Rm 5 Library Ext.
May 14 THU	2:30 pm - 5:30 pm		ELEC2147	Electrical energy technology	Rm 3 Library Ext.
				Electrical energy technology	Rm 4 Library Ext.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 15 FRI	9:30 am - 12:30 pm		COMP3278	Introduction to database management systems	Rm 5 Library Ext.
				Introduction to database management systems	Rm 6 Library Ext.
				Introduction to database management systems	Rm 7 Library Ext.
				Introduction to database management systems	Rm 8 Library Ext.
				Introduction to database management systems	Rm 9 Library Ext.
May 15 FRI	9:30 am - 11:30 am		DASE3107	Systems modeling & simulation	Rm 167 Main Bldg.
May 15 FRI	9:30 am - 12:30 pm		MECH2407	Multivariable calculus and partial differential equations	Rm 105 Chong Yuet Ming Amenities Ctr.
				Multivariable calculus and partial differential equations	Rm 302 Chong Yuet Ming Amenities Ctr.
May 15 FRI	9:30 am - 11:30 am		PHYS2055	Introductory relativity	Rm 103 Main Bldg.
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 15 FRI	2:30 pm - 4:30 pm		DASE3137	Virtual reality for systems engineering	Rm 103 Main Bldg.
May 15 FRI	2:30 pm - 5:30 pm		MECH4404	Automatic control	Rm 237 Main Bldg.
May 16 SAT	9:30 am - 11:30 am		CHEM2441	Organic chemistry I	Rm 217 Main Bldg.
				Organic chemistry I	Rm 256 Main Bldg.
May 16 SAT	9:30 am - 12:30 pm		CHEM4145	Medicinal chemistry	Rm 2 Library Ext.
May 16 SAT	9:30 am - 11:30 am		COMP2501	Introduction to data science	Multi-purpose Zone, Level 3, Main Library
May 16 SAT	9:30 am - 11:30 am		FINA1310	Corporate finance	CPD-LG.07-10, Centennial Campus
				Corporate finance	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Corporate finance	Loke Yew Hall
May 16 SAT	9:30 am - 11:30 am		PHYS2250	Introductory mechanics	Rm 237 Main Bldg.
				Introductory mechanics	Rm 256 Main Bldg.
May 16 SAT	2:30 pm - 4:30 pm		DASE4141	Digital twin and applications	Rm 8 Library Ext.
May 16 SAT	2:30 pm - 4:30 pm		ENGG1300	Fundamental mechanics	Loke Yew Hall
				Fundamental mechanics	Rm 103 Main Bldg.
May 16 SAT	2:30 pm - 5:00 pm		MATH2012	Fundamental concepts of mathematics	CPD-LG.07-10, Centennial Campus
				Fundamental concepts of mathematics	CPD-LG.61 & CPD-LG.62, Centennial Campus
