BEng Examination                                                                 Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	9:30 am - 11:30 am		ACCT3103	Intermediate financial accounting II	Rm 6 Library Ext.
				Intermediate financial accounting II	Rm 7 Library Ext.
May 11 MON	9:30 am - 12:30 pm		CIVL3141	Applied Deep Learning for Civil Engineers	Rm 2 Library Ext.
May 11 MON	9:30 am - 11:30 am		ECON1280	Analysis of economic data	CPD-LG.07-10, Centennial Campus
				Analysis of economic data	Multi-purpose Zone, Level 3, Main Library
May 11 MON	9:30 am - 12:30 pm		ELEC2544	Introduction to electronic commerce and financial technology	Rm 2 Library Ext.
May 11 MON	9:30 am - 11:30 am		FITE3012	E-payment and crypto-currency	Rm 5 Library Ext.
May 11 MON	9:30 am - 11:30 am		SDST2601	Probability and Statistics I	Rm 105 Chong Yuet Ming Amenities Ctr.
May 11 MON	2:30 pm - 4:30 pm		BIOC3605	Sequence bioinformatics	Rm 8 Library Ext.
				Sequence bioinformatics	Rm 9 Library Ext.
May 11 MON	2:30 pm - 5:30 pm		BMED2810	Engineering management and society	Rm 105 Chong Yuet Ming Amenities Ctr.
May 11 MON	2:30 pm - 5:30 pm		CIVL1117	Construction Materials	CPD-LG.07-10, Centennial Campus
May 11 MON	2:30 pm - 5:30 pm		CIVL2112	Structural Analysis	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 11 MON	2:30 pm - 5:30 pm		CIVL2113	Structural Design	CPD-LG.07-10, Centennial Campus
May 11 MON	2:30 pm - 5:30 pm		CIVL3138	Advanced Theory and design of structures	CPD-LG.07-10, Centennial Campus
May 11 MON	2:30 pm - 5:30 pm		COMP3251	Algorithm design	Loke Yew Hall
May 11 MON	2:30 pm - 5:30 pm		COMP3252	Algorithm design and analysis	Loke Yew Hall
May 11 MON	2:30 pm - 4:30 pm		COMP3516	Data analytics for IoT	Rm 5 Library Ext.
May 11 MON	2:30 pm - 5:30 pm		DASE2135	Mathematical Optimisation	Rm 103 Main Bldg.
May 11 MON	2:30 pm - 5:30 pm		DASE3111	Data-driven optimisation	Rm 167 Main Bldg.
May 11 MON	2:30 pm - 5:30 pm		ELEC3844	Engineering management and society	Rm 105 Chong Yuet Ming Amenities Ctr.
May 11 MON	2:30 pm - 4:30 pm		ENVS2002	Environmental data analysis	Rm 4 Library Ext.
May 11 MON	2:30 pm - 5:00 pm		MATH3405	Differential equations	Rm 6 Library Ext.
				Differential equations	Rm 7 Library Ext.
May 11 MON	2:30 pm - 5:30 pm		MECH3408	Mechanics of fluids	CPD-LG.07-10, Centennial Campus
May 12 TUE	9:30 am - 12:30 pm		CIVL3114	Slope Engineering	Rm 167 Main Bldg.
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 12:30 pm		ELEC3142	Electrical energy conversion	Rm 2 Library Ext.
May 12 TUE	9:30 am - 11:30 am		FINA2320	Investments and portfolio analysis	CPD-LG.07-10, Centennial Campus
				Investments and portfolio analysis	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Investments and portfolio analysis	CPD-LG.63, Centennial Campus
May 12 TUE	9:30 am - 12:30 pm		MECH1350	Introduction of mechanical engineering	Rm 3 Library Ext.
				Introduction of mechanical engineering	Rm 4 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1150	Problem solving in physics	Rm 7 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1240	Physics by inquiry	Rm 7 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1650	Nature of the universe	Rm 6 Library Ext.
May 12 TUE	9:30 am - 11:30 am		SDST3610	Risk management and insurance	Rm 237 Main Bldg.
May 12 TUE	2:30 pm - 5:30 pm		CIVL2103	Fluid Mechanics	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	2:30 pm - 5:30 pm		CIVL3120	Transportation Infrastructure Engineering	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	2:30 pm - 4:30 pm		COMP3323	Advanced database systems	Rm 201 Main Bldg.
				Advanced database systems	Rm 256 Main Bldg.
May 12 TUE	2:30 pm - 5:30 pm		DASE2144	Fundamentals of robotics	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	2:30 pm - 4:30 pm		DASE4140	Machine learning and applications	Rm 256 Main Bldg.
May 12 TUE	2:30 pm - 5:30 pm		ELEC3241	Signals and linear systems	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	2:30 pm - 4:30 pm		GEOG2160	Sustainable Waste Management and Circular Economy in Hong Kong	Rm 2 Library Ext.
May 12 TUE	2:30 pm - 5:00 pm		MATH3911	Game theory and strategy	Rm 237 Main Bldg.
May 12 TUE	2:30 pm - 5:30 pm		MECH4407	CAD/CAM	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	6:30 pm - 9:30 pm		COMP2120	Computer organization	CPD-LG.07-10, Centennial Campus
				Computer organization	CPD-LG.63, Centennial Campus
May 12 TUE	6:30 pm - 8:30 pm		FINA2383	International financial management	Rm 6 Library Ext.
				International financial management	Rm 7 Library Ext.
May 13 WED	9:30 am - 12:30 pm		CIME2101	Water and Air Quality: Concepts and Measurement	Rm 8 Library Ext.
