BSc&LLB Examination                                                              Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	9:30 am - 11:30 am		STAT2601	Probability and statistics I	Rm 105 Chong Yuet Ming Amenities Ctr.
May 11 MON	2:30 pm - 4:30 pm		ENVS2002	Environmental data analysis	Rm 4 Library Ext.
May 11 MON	2:30 pm - 5:00 pm (30 minutes' reading time included)		LLAW2004	Criminal law II	Multi-purpose Zone, Level 3, Main Library
May 11 MON	2:30 pm - 5:00 pm		MATH3405	Differential equations	Rm 6 Library Ext.
				Differential equations	Rm 7 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1150	Problem solving in physics	Rm 7 Library Ext.
May 12 TUE	2:30 pm - 5:00 pm		BIOC3604	Essential techniques in biochemistry and molecular biology	Rm 5 Library Ext.
May 12 TUE	2:30 pm - 4:30 pm		BIOL4415	Healthcare biotechnology	CPD-LG.07-10, Centennial Campus
May 12 TUE	2:30 pm - 4:30 pm		CHEM1043	General chemistry II	CPD-LG.07-10, Centennial Campus
May 13 WED	2:30 pm - 4:00 pm		BIOL1110	From molecules to cells	Rm 6 Library Ext.
				From molecules to cells	Rm 7 Library Ext.
				From molecules to cells	Rm 8 Library Ext.
May 13 WED	2:30 pm - 5:30 pm		BIOL3303	Conservation biology	Rm 4 Library Ext.
May 13 WED	2:30 pm - 5:00 pm (30 minutes' reading time included)		LLAW1015	Criminal law II	CPD-LG.07-10, Centennial Campus
May 13 WED	2:30 pm - 4:30 pm (10 minutes' reading time included)		LLAW2014	Land law II	Loke Yew Hall
				Land law II	Rm 103 Main Bldg.
May 13 WED	2:30 pm - 4:30 pm (10 minutes' reading time included)		LLAW2019	Land law II	Loke Yew Hall
May 13 WED	6:30 pm - 9:30 pm (No reading time included)		LLAW3105	Land law III	Rm 103 Main Bldg.
				Land law III	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 4:30 pm		BIOL3404	Protein structure and function	Rm 201 Main Bldg.
				Protein structure and function	Rm 256 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 14 THU	6:30 pm - 9:30 pm (15 minutes' reading time included)		LLAW3093	Administrative law	CPD-LG.07-10, Centennial Campus
				Administrative law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 15 FRI	9:30 am - 12:30 pm		CHEM4147	Supramolecular chemistry	Rm 237 Main Bldg.
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		LLAW1002	Law of contract II	CPD-LG.07-10, Centennial Campus
May 16 SAT	9:30 am - 12:30 pm		CHEM4145	Medicinal chemistry	Rm 2 Library Ext.
May 16 SAT	2:30 pm - 4:15 pm (15 minutes' reading time included)		LLAW3095	Equity and trusts II	Multi-purpose Zone, Level 3, Main Library
May 16 SAT	6:30 pm - 8:30 pm		STAT2602	Probability and statistics II	Loke Yew Hall
May 18 MON	9:30 am - 11:30 am		EASC1020	Introduction to climate science	Rm 3 Library Ext.
May 18 MON	9:30 am - 12:00 noon		MATH2014	Multivariable calculus and linear algebra	CPD-LG.07-10, Centennial Campus
				Multivariable calculus and linear algebra	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW1006	Law of tort II	CPD-LG.07-10, Centennial Campus
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW3102	Evidence I	Rm 217 Main Bldg.
				Evidence I	Rm 218 Main Bldg.
May 18 MON	2:30 pm - 5:00 pm		MATH3901	Operations research I	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 19 TUE	9:30 am - 12:30 pm		CHEM4444	Chemical Biology	Rm 103 Main Bldg.
May 19 TUE	9:30 am - 11:30 am		CHIN1107	Creative writing	Rm 217 Main Bldg.
May 19 TUE	9:30 am - 11:30 am		SCNC1112	Fundamentals of modern science	Multi-purpose Zone, Level 3, Main Library
				Fundamentals of modern science	Rm 6 Library Ext.
May 19 TUE	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW3043	Principles of family law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 19 TUE	2:30 pm - 5:30 pm		STAT3615	Practical mathematics for investment	Rm 201 Main Bldg.
May 20 WED	9:30 am - 10:30 am		ENVS1301	Environmental life science	Rm 201 Main Bldg.
				Environmental life science	Rm 256 Main Bldg.
May 20 WED	9:30 am - 11:30 am		GEOG3203	Climate change and the environment	Rm 237 Main Bldg.
May 20 WED	9:30 am - 11:30 am		PHYS2255	Introductory electricity and magnetism	Loke Yew Hall
May 20 WED	2:30 pm - 4:30 pm		COMP1117	Computer programming	Loke Yew Hall
				Computer programming	Rm 103 Main Bldg.
				Computer programming	Rm 167 Main Bldg.
May 20 WED	2:30 pm - 4:30 pm		COMP2113	Programming technologies	CPD-LG.07-10, Centennial Campus
				Programming technologies	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Programming technologies	CPD-LG.63, Centennial Campus
				Programming technologies	Multi-purpose Zone, Level 3, Main Library
May 20 WED	2:30 pm - 5:30 pm		COMP2119	Introduction to data structures and algorithms	Rm 217 Main Bldg.
				Introduction to data structures and algorithms	Rm 218 Main Bldg.
				Introduction to data structures and algorithms	Rm 237 Main Bldg.
May 21 THU	9:30 am - 10:30 am		BIOL2103	Biological sciences laboratory course	Rm 105 Chong Yuet Ming Amenities Ctr.
May 21 THU	9:30 am - 11:30 am		EASC2411	Introduction to the Earth-Life system	Rm 4 Library Ext.
May 21 THU	9:30 am - 12:45 pm (15 minutes' reading time included)		LLAW3010	Business associations	Multi-purpose Zone, Level 3, Main Library
May 21 THU	9:30 am - 11:30 am		STAT3600	Linear statistical analysis	CPD-LG.07-10, Centennial Campus
May 21 THU	2:30 pm - 4:30 pm		CHEM1042	General chemistry I	Loke Yew Hall
May 21 THU	2:30 pm - 4:30 pm		EASC3406	Reconstruction of past climate	Loke Yew Hall
May 22 FRI	9:30 am - 12:00 pm (15 minutes' reading time included)		LLAW2009	Introduction to Chinese legal system	Multi-purpose Zone, Level 3, Main Library
May 22 FRI	9:30 am - 12:00 noon		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
May 22 FRI	2:30 pm - 4:30 pm		BIOL3403	Immunology	Multi-purpose Zone, Level 3, Main Library
May 22 FRI	2:30 pm - 4:30 pm		STAT1600	Statistics: ideas and concepts	CPD-LG.07-10, Centennial Campus
May 23 SAT	9:30 am - 11:30 am		CCST9012	Our Place in the Universe	Loke Yew Hall
May 23 SAT	9:30 am - 11:30 am		CDDL9001	Practical Chinese for Double Degree Law Students	Loke Yew Hall
May 23 SAT	9:30 am - 12:00 noon		MATH2102	Linear algebra II	Rm 217 Main Bldg.
				Linear algebra II	Rm 218 Main Bldg.
May 26 TUE	9:30 am - 11:30 am		BIOL1309	Evolutionary diversity	Rm 217 Main Bldg.
				Evolutionary diversity	Rm 218 Main Bldg.
May 26 TUE	2:30 pm - 4:00 pm		CUND9003	Cantonese for Non-Cantonese Speaking Students	Multi-purpose Zone, Level 3, Main Library
May 26 TUE	6:30 pm - 9:00 pm		MATH2101	Linear algebra I	CPD-LG.07-10, Centennial Campus
