BSc&MRes Examination                                                             Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	9:30 am - 11:30 am		CHEM2541	Introductory Physical Chemistry	Rm 3 Library Ext.
				Introductory Physical Chemistry	Rm 4 Library Ext.
May 11 MON	9:30 am - 11:30 am		SDST2601	Probability and Statistics I	Rm 105 Chong Yuet Ming Amenities Ctr.
May 11 MON	2:30 pm - 4:30 pm		BIOC3605	Sequence bioinformatics	Rm 8 Library Ext.
				Sequence bioinformatics	Rm 9 Library Ext.
May 11 MON	2:30 pm - 4:30 pm		ENVS2002	Environmental data analysis	Rm 4 Library Ext.
May 11 MON	2:30 pm - 5:00 pm		MATH3405	Differential equations	Rm 6 Library Ext.
				Differential equations	Rm 7 Library Ext.
May 11 MON	2:30 pm - 4:30 pm		PHYS3850	Physical Optics	Rm 256 Main Bldg.
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1150	Problem solving in physics	Rm 7 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1650	Nature of the universe	Rm 6 Library Ext.
May 12 TUE	2:30 pm - 4:30 pm		BIOL4415	Healthcare biotechnology	CPD-LG.07-10, Centennial Campus
May 12 TUE	2:30 pm - 4:30 pm		CHEM1043	General chemistry II	CPD-LG.07-10, Centennial Campus
May 12 TUE	2:30 pm - 4:30 pm		CHEM3443	Organic chemistry laboratory	CPD-LG.07-10, Centennial Campus
May 12 TUE	2:30 pm - 5:00 pm		MATH3911	Game theory and strategy	Rm 237 Main Bldg.
May 12 TUE	2:30 pm - 5:00 pm		MATH4402	Analysis II	Rm 217 Main Bldg.
May 12 TUE	6:30 pm - 9:30 pm		COMP2120	Computer organization	CPD-LG.07-10, Centennial Campus
				Computer organization	CPD-LG.63, Centennial Campus
May 13 WED	9:30 am - 11:30 am		BIOL4401	Medical microbiology and applied immunology	Rm 103 Main Bldg.
May 13 WED	9:30 am - 11:30 am		ECON1220	Introductory macroeconomics	CPD-LG.07-10, Centennial Campus
				Introductory macroeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory macroeconomics	Loke Yew Hall
				Introductory macroeconomics	Multi-purpose Zone, Level 3, Main Library
May 13 WED	9:30 am - 11:30 am		PHYS3653	Astrophysics	Rm 2 Library Ext.
May 13 WED	2:30 pm - 4:00 pm		BIOL1110	From molecules to cells	Rm 6 Library Ext.
				From molecules to cells	Rm 7 Library Ext.
				From molecules to cells	Rm 8 Library Ext.
May 13 WED	2:30 pm - 5:30 pm		BIOL3303	Conservation biology	Rm 4 Library Ext.
May 13 WED	2:30 pm - 4:30 pm		CHEM4242	Advanced analytical chemistry	CPD-LG.63, Centennial Campus
May 13 WED	2:30 pm - 5:00 pm		MATH3603	Probability theory	Rm 217 Main Bldg.
				Probability theory	Rm 237 Main Bldg.
May 13 WED	6:30 pm - 9:00 pm		MATH6015	Topics in artificial intelligence and machine learning	Rm 7 Library Ext.
May 14 THU	9:30 am - 11:30 am		BBMS2005	Biomedical Pharmacology	Rm 7 Library Ext.
				Biomedical Pharmacology	Rm 8 Library Ext.
May 14 THU	9:30 am - 11:30 am		CHEM2241	Analytical chemistry I	Rm 5 Library Ext.
May 14 THU	9:30 am - 12:00 noon		MATH2241	Introduction to mathematical analysis	Rm 217 Main Bldg.
May 14 THU	2:30 pm - 4:30 pm		BIOL3404	Protein structure and function	Rm 201 Main Bldg.
				Protein structure and function	Rm 256 Main Bldg.
May 14 THU	2:30 pm - 4:30 pm		CHEM1044	Mathematics in chemistry	Rm 217 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 14 THU	2:30 pm - 5:00 pm		MATH6505	Real analysis	Rm 8 Library Ext.
May 14 THU	2:30 pm - 5:00 pm		MATH7505	Real analysis	Rm 8 Library Ext.
May 14 THU	2:30 pm - 5:30 pm		PHYS3350	Classical mechanics	Rm 2 Library Ext.
May 15 FRI	9:30 am - 12:30 pm		CHEM4147	Supramolecular chemistry	Rm 237 Main Bldg.
May 15 FRI	9:30 am - 11:30 am		PHYS2055	Introductory relativity	Rm 103 Main Bldg.
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 15 FRI	2:30 pm - 4:00 pm		BIOL2414	Plant adaptation to climate change	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 15 FRI	2:30 pm - 4:30 pm		BIOL3319	Tropical terrestrial ecology	Rm 8 Library Ext.
May 15 FRI	2:30 pm - 4:00 pm		BIOL3414	Plant stress biology and climate change	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 15 FRI	2:30 pm - 5:30 pm		PHYS3450	Electromagnetism	Rm 4 Library Ext.
May 16 SAT	9:30 am - 11:30 am		CHEM2441	Organic chemistry I	Rm 217 Main Bldg.
				Organic chemistry I	Rm 256 Main Bldg.
May 16 SAT	9:30 am - 11:30 am		PHYS2250	Introductory mechanics	Rm 237 Main Bldg.
				Introductory mechanics	Rm 256 Main Bldg.
May 16 SAT	9:30 am - 12:30 pm		PHYS4351	Advanced quantum mechanics	Rm 2 Library Ext.
May 16 SAT	2:30 pm - 5:00 pm		MATH2012	Fundamental concepts of mathematics	CPD-LG.07-10, Centennial Campus
				Fundamental concepts of mathematics	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 16 SAT	6:30 pm - 8:30 pm		BIOL4417	'Omics' and systems biology	Rm 8 Library Ext.
May 18 MON	9:30 am - 11:30 am		CHEM3141	Environmental chemistry	Rm 105 Chong Yuet Ming Amenities Ctr.
May 18 MON	9:30 am - 11:30 am		EASC1020	Introduction to climate science	Rm 3 Library Ext.
May 18 MON	9:30 am - 12:00 noon		MATH2014	Multivariable calculus and linear algebra	CPD-LG.07-10, Centennial Campus
				Multivariable calculus and linear algebra	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 18 MON	9:30 am - 12:00 noon		MATH3403	Functions of a complex variable	Loke Yew Hall
May 18 MON	9:30 am - 11:30 am		PHYS8352	Quantum Information	Rm 9 Library Ext.
May 18 MON	2:30 pm - 4:30 pm		CHEM4144	Advanced materials	Rm 237 Main Bldg.
May 18 MON	2:30 pm - 5:00 pm		MATH4902	Operations research II	CPD-LG.63, Centennial Campus
May 18 MON	2:30 pm - 4:30 pm		PHYS3851	Atomic and nuclear physics	Rm 6 Library Ext.
May 19 TUE	9:30 am - 12:30 pm		CHEM4444	Chemical Biology	Rm 103 Main Bldg.
May 19 TUE	9:30 am - 11:30 am		SCNC1112	Fundamentals of modern science	Multi-purpose Zone, Level 3, Main Library
				Fundamentals of modern science	Rm 6 Library Ext.
May 19 TUE	2:30 pm - 4:30 pm		BIOL3318	Experimental intertidal ecology	Rm 6 Library Ext.
May 19 TUE	2:30 pm - 5:30 pm		CHEM3342	Bioinorganic chemistry	Rm 237 Main Bldg.
May 19 TUE	2:30 pm - 5:00 pm		COMP3297	Software engineering	Loke Yew Hall
May 19 TUE	2:30 pm - 4:00 pm		GEOG1020	Modern Maps in the Age of Big Data	Multi-purpose Zone, Level 3, Main Library
				Modern Maps in the Age of Big Data	Rm 2 Library Ext.
				Modern Maps in the Age of Big Data	Rm 3 Library Ext.
May 19 TUE	2:30 pm - 4:30 pm		PHYS2650	Modern astronomy	Rm 9 Library Ext.
May 19 TUE	2:30 pm - 4:30 pm		SOCI2080	Media and culture in modern societies	Rm 105 Chong Yuet Ming Amenities Ctr.
May 20 WED	9:30 am - 12:30 pm		BSTC2020	Sanskrit Language II	Rm 3 Library Ext.
May 20 WED	9:30 am - 11:30 am		CHEM2341	Inorganic chemistry I	Loke Yew Hall
May 20 WED	9:30 am - 11:30 am		CHEM3144	Fundamentals of nuclear magnetic resonance	Loke Yew Hall
May 20 WED	9:30 am - 10:30 am		ENVS1301	Environmental life science	Rm 201 Main Bldg.
				Environmental life science	Rm 256 Main Bldg.
May 20 WED	9:30 am - 11:30 am		PHYS2255	Introductory electricity and magnetism	Loke Yew Hall
May 20 WED	9:30 am - 12:30 pm		STAT2901	Probability and statistics: foundations of actuarial science	Rm 105 Chong Yuet Ming Amenities Ctr.
May 20 WED	2:30 pm - 4:30 pm		COMP1117	Computer programming	Loke Yew Hall
				Computer programming	Rm 103 Main Bldg.
				Computer programming	Rm 167 Main Bldg.
May 20 WED	2:30 pm - 4:30 pm		COMP2113	Programming technologies	CPD-LG.07-10, Centennial Campus
				Programming technologies	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Programming technologies	CPD-LG.63, Centennial Campus
				Programming technologies	Multi-purpose Zone, Level 3, Main Library
May 20 WED	2:30 pm - 5:30 pm		COMP2119	Introduction to data structures and algorithms	Rm 217 Main Bldg.
				Introduction to data structures and algorithms	Rm 218 Main Bldg.
				Introduction to data structures and algorithms	Rm 237 Main Bldg.
May 21 THU	9:30 am - 10:30 am		BIOL2103	Biological sciences laboratory course	Rm 105 Chong Yuet Ming Amenities Ctr.
May 21 THU	9:30 am - 11:30 am		CUND9004	Practical Applied Chin Writing & Effective Presentation Skills for Non-local Mandarin Speaking Stu	Rm 237 Main Bldg.
May 21 THU	9:30 am - 11:30 am		EASC2406	Geochemistry	Rm 4 Library Ext.
May 21 THU	9:30 am - 11:30 am		PHYS2265	Introductory quantum physics	Rm 167 Main Bldg.
May 21 THU	9:30 am - 11:30 am		PHYS4652	Planetary science	Rm 167 Main Bldg.
May 21 THU	2:30 pm - 4:30 pm		CHEM1042	General chemistry I	Loke Yew Hall
May 21 THU	2:30 pm - 5:00 pm		MATH7502	Topics in applied discrete mathematics	Rm 2 Library Ext.
May 21 THU	2:30 pm - 4:30 pm		PHYS2155	Methods in physics II	Loke Yew Hall
May 22 FRI	9:30 am - 11:30 am		CHEM3542	Physical chemistry: statistical thermodynamics and kinetics theory	Rm 103 Main Bldg.
May 22 FRI	9:30 am - 11:30 am		EASC4406	Earth Dynamics & Global Tectonics	Rm 167 Main Bldg.
May 22 FRI	9:30 am - 12:00 noon		MATH1011	University mathematics I	CPD-LG.07-10, Centennial Campus
May 22 FRI	9:30 am - 12:00 noon		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
May 22 FRI	9:30 am - 11:30 am		PHYS8751	Device Physics	Rm 103 Main Bldg.
May 22 FRI	2:30 pm - 4:30 pm		BIOL3403	Immunology	Multi-purpose Zone, Level 3, Main Library
