BSocSc(Govt&Laws)&LLB Examination                                                Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	2:30 pm - 5:00 pm (30 minutes' reading time included)		LLAW2004	Criminal law II	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1650	Nature of the universe	Rm 6 Library Ext.
May 13 WED	2:30 pm - 5:00 pm (30 minutes' reading time included)		LLAW1015	Criminal law II	CPD-LG.07-10, Centennial Campus
May 13 WED	2:30 pm - 4:30 pm (10 minutes' reading time included)		LLAW2014	Land law II	Loke Yew Hall
				Land law II	Rm 103 Main Bldg.
May 13 WED	6:30 pm - 9:30 pm (No reading time included)		LLAW3105	Land law III	Rm 103 Main Bldg.
				Land law III	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 14 THU	6:30 pm - 9:30 pm (15 minutes' reading time included)		LLAW3093	Administrative law	CPD-LG.07-10, Centennial Campus
				Administrative law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 15 FRI	9:30 am - 11:30 am		GEOG1016	Nature conservation for sustainable societies	Multi-purpose Zone, Level 3, Main Library
				Nature conservation for sustainable societies	Rm 2 Library Ext.
				Nature conservation for sustainable societies	Rm 3 Library Ext.
				Nature conservation for sustainable societies	Rm 4 Library Ext.
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		LLAW1002	Law of contract II	CPD-LG.07-10, Centennial Campus
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		LLAW3097	Civil procedure	CPD-LG.63, Centennial Campus
May 15 FRI	6:30 pm - 8:30 pm		CCCH9028	Hong Kong and China's Economic Development	Rm 105 Chong Yuet Ming Amenities Ctr.
May 15 FRI	6:30 pm - 8:45 pm (15 minutes' reading time included)		LLAW3030	Introduction to private international law (conflict of laws)	Rm 5 Library Ext.
May 16 SAT	2:30 pm - 4:15 pm (15 minutes' reading time included)		LLAW3095	Equity and trusts II	Multi-purpose Zone, Level 3, Main Library
May 16 SAT	6:30 pm - 7:30 pm		CSSC9001	Practical Chinese for Social Sciences Students	Rm 105 Chong Yuet Ming Amenities Ctr.
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW1006	Law of tort II	CPD-LG.07-10, Centennial Campus
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW3102	Evidence I	Rm 217 Main Bldg.
				Evidence I	Rm 218 Main Bldg.
May 19 TUE	9:30 am - 10:30 am		ECON2276	State, law and the economy (COIL)	Rm G07 Main Bldg.
May 19 TUE	2:30 pm - 4:30 pm		GEOG2124	Environmental change and socio-political conflicts	Rm 105 Chong Yuet Ming Amenities Ctr.
May 19 TUE	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW3043	Principles of family law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 19 TUE	2:30 pm - 4:30 pm		POLI3157	European Politics	Rm 105 Chong Yuet Ming Amenities Ctr.
May 19 TUE	2:30 pm - 4:30 pm		SOCI3056	Criminal justice: policy and practice	Rm 302 Chong Yuet Ming Amenities Ctr.
May 20 WED	2:30 pm - 4:30 pm		POLI2106	Introduction to international relations	Rm 2 Library Ext.
				Introduction to international relations	Rm 3 Library Ext.
May 20 WED	2:30 pm - 4:30 pm		POLI3037	Managing people in public organizations	Rm 4 Library Ext.
May 20 WED	6:30 pm - 8:30 pm		CCHU9068	Shaping our World: Liberalism, Socialism and Nationalism	Rm 103 Main Bldg.
May 21 THU	9:30 am - 12:45 pm (15 minutes' reading time included)		LLAW3010	Business associations	Multi-purpose Zone, Level 3, Main Library
May 22 FRI	9:30 am - 12:00 pm (15 minutes' reading time included)		LLAW2009	Introduction to Chinese legal system	Multi-purpose Zone, Level 3, Main Library
May 22 FRI	2:30 pm - 4:30 pm		GEOG2055	Water resources and management	CPD-LG.07-10, Centennial Campus
May 22 FRI	2:30 pm - 4:30 pm		SOCI1001	Introduction to sociology	Loke Yew Hall
				Introduction to sociology	Rm 167 Main Bldg.
May 23 SAT	9:30 am - 11:30 am		CCST9012	Our Place in the Universe	Loke Yew Hall
May 23 SAT	2:30 pm - 4:30 pm		PSYC1001	Introduction to psychology	Multi-purpose Zone, Level 3, Main Library
