BSW Examination                                                                  Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 13 WED	9:30 am - 11:30 am		SOCI3105	Global Criminology	Rm 3 Library Ext.
May 15 FRI	9:30 am - 11:30 am		GEOG1016	Nature conservation for sustainable societies	Multi-purpose Zone, Level 3, Main Library
				Nature conservation for sustainable societies	Rm 2 Library Ext.
				Nature conservation for sustainable societies	Rm 3 Library Ext.
				Nature conservation for sustainable societies	Rm 4 Library Ext.
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 16 SAT	2:30 pm - 4:30 pm		GEOG2128	Economic geography	Rm 2 Library Ext.
May 16 SAT	6:30 pm - 7:30 pm		CSSC9001	Practical Chinese for Social Sciences Students	Rm 105 Chong Yuet Ming Amenities Ctr.
May 18 MON	9:30 am - 11:30 am		CHIN1117	General introduction to classical Chinese language	Rm 201 Main Bldg.
May 18 MON	9:30 am - 11:30 am		SOCI2071	Criminology	Rm 8 Library Ext.
				Criminology	Rm 9 Library Ext.
May 20 WED	9:30 am - 11:30 am		CHIN1103	Introduction to standard works in modern Chinese literature	Rm 103 Main Bldg.
				Introduction to standard works in modern Chinese literature	Rm 167 Main Bldg.
May 22 FRI	2:30 pm - 4:30 pm		GEOG2055	Water resources and management	CPD-LG.07-10, Centennial Campus
May 22 FRI	2:30 pm - 4:30 pm		SOCI1001	Introduction to sociology	Loke Yew Hall
				Introduction to sociology	Rm 167 Main Bldg.
May 23 SAT	2:30 pm - 5:00 pm		MATH2211	Multivariable calculus	Loke Yew Hall
May 23 SAT	2:30 pm - 4:30 pm		PSYC1001	Introduction to psychology	Multi-purpose Zone, Level 3, Main Library
May 26 TUE	6:30 pm - 9:00 pm		MATH2101	Linear algebra I	CPD-LG.07-10, Centennial Campus
