Faculty of Social Sciences Postgraduate Courses Examination                      Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	6:30 pm - 8:30 pm		GEOG7117	Public policies and regional development	Loke Yew Hall
May 12 TUE	6:30 pm - 8:30 pm		GEOG7129	Climate change, environmental resources and human carrying capacity in China	Rm 105 Chong Yuet Ming Amenities Ctr.
May 14 THU	6:30 pm - 8:30 pm		GEOG7124	Globalization and spatial economic transformation in China	Rm 201 Main Bldg.
May 15 FRI	6:30 pm - 8:30 pm		GEOG7147	The Greater Bay Area: Economy, Governance, and Regional Integration	Rm 103 Main Bldg.
				The Greater Bay Area: Economy, Governance, and Regional Integration	Rm 167 Main Bldg.
May 15 FRI	6:30 pm - 8:00 pm		SOCI7001	Criminal justice: process and politics	Rm 2 Library Ext.
May 16 SAT	2:30 pm - 4:30 pm		GEOG7101	The Chinese economies: Location, transformation, and integration	Rm 105 Chong Yuet Ming Amenities Ctr.
				The Chinese economies: Location, transformation, and integration	Rm 302 Chong Yuet Ming Amenities Ctr.
May 19 TUE	6:30 pm - 8:30 pm		GEOG7002	Transport and development	Rm 103 Main Bldg.
May 19 TUE	6:30 pm - 8:30 pm		SOCI7009	Global and comparative criminology	Rm 217 Main Bldg.
May 22 FRI	6:30 pm - 8:30 pm		GEOG7010	Transport law and management	Multi-purpose Zone, Level 3, Main Library
