Faculty of Engineering Postgraduate Courses Examination                          Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 7 THU	6:30 pm - 8:30 pm		COMP7415	Mastering the markets: Financial analytics and algorithmic trading	Loke Yew Hall
May 8 FRI	6:30 pm - 8:30 pm		COMP7610	Introduction to Web3 and blockchain	Rm 103 Main Bldg.
				Introduction to Web3 and blockchain	Rm 611, CDS-1 Main Building, HKU-CDS Shanghai Teaching and Research Site, Shanghai
May 11 MON	2:30 pm - 5:30 pm		DASE7337	Operational risk management	Rm 103 Main Bldg.
May 11 MON	6:30 pm - 8:30 pm		CIVL6006	Advanced water and wastewater treatment	Multi-purpose Zone, Level 3, Main Library
May 11 MON	6:30 pm - 8:30 pm		COMP7103	Data mining	Multi-purpose Zone, Level 3, Main Library
May 11 MON	6:30 pm - 8:30 pm		COMP7608	Large language models	Multi-purpose Zone, Level 3, Main Library
				Large language models	Rm 611, CDS-1 Main Building, HKU-CDS Shanghai Teaching and Research Site, Shanghai
May 11 MON	6:30 pm - 8:30 pm		ELEC6065	Data compression	Rm 201 Main Bldg.
May 11 MON	6:30 pm - 8:30 pm		MECH6046	Microsystems for energy, biomedical and consumer electronics applications	Rm 256 Main Bldg.
May 11 MON	6:30 pm - 8:30 pm		STAT6013	Financial data analysis	Rm 103 Main Bldg.
				Financial data analysis	Rm 167 Main Bldg.
May 12 TUE	9:30 am - 11:30 am		DASE7137	Virtual reality and applications	Rm 8 Library Ext.
May 12 TUE	9:30 am - 11:30 am		ELEC6095	Smart grid	Rm 201 Main Bldg.
				Smart grid	Rm 217 Main Bldg.
May 12 TUE	2:30 pm - 4:30 pm		MECH7011	Applied thermodynamics and power plant technology	Rm 302 Chong Yuet Ming Amenities Ctr.
May 12 TUE	6:30 pm - 8:30 pm		CIVL6009	Building planning and control	Rm 4 Library Ext.
				Building planning and control	Rm 5 Library Ext.
May 12 TUE	6:30 pm - 8:30 pm		CIVL7008	Seismic analysis for building structures	Rm 8 Library Ext.
May 12 TUE	6:30 pm - 8:30 pm		COMP7404	Computational intelligence and machine learning	Loke Yew Hall
May 12 TUE	6:30 pm - 8:30 pm		COMP7404	Computational intelligence and machine learning	Rm 103 Main Bldg.
				Computational intelligence and machine learning	Rm 167 Main Bldg.
May 12 TUE	6:30 pm - 8:30 pm		COMP7404	Computational intelligence and machine learning	Rm 612, CDS-1 Main Building, HKU-CDS Shanghai Teaching and Research Site, Shanghai
May 12 TUE	6:30 pm - 8:30 pm		DASE7251	Fundamentals of law for logistics	Multi-purpose Zone, Level 3, Main Library
May 12 TUE	6:30 pm - 8:30 pm		MEST7421	Thin Film Transistor Technology and Applications	Rm 2 Library Ext.
				Thin Film Transistor Technology and Applications	Rm 3 Library Ext.
May 13 WED	6:30 pm - 8:30 pm		CIVL6027	Foundation engineering	Multi-purpose Zone, Level 3, Main Library
May 13 WED	6:30 pm - 8:30 pm		CIVL6058	Management of infrastructure megaprojects	Loke Yew Hall
May 13 WED	6:30 pm - 8:30 pm		CIVL7022	Carbon neutral engineering	Loke Yew Hall
May 13 WED	6:30 pm - 8:30 pm		COMP7906	Introduction to cyber security	Rm 5 Library Ext.
May 13 WED	6:30 pm - 8:30 pm		DASE7503	Robotic systems integration	Rm 201 Main Bldg.
				Robotic systems integration	Rm 256 Main Bldg.
May 13 WED	6:30 pm - 8:30 pm		DASE7909	Quality management	Rm 2 Library Ext.
May 13 WED	6:30 pm - 8:30 pm		ELEC6049	Digital system design techniques	Rm 105 Chong Yuet Ming Amenities Ctr.
May 13 WED	6:30 pm - 8:30 pm		FITE7410	Financial fraud analytics	CPD-LG.07-10, Centennial Campus
				Financial fraud analytics	Rm 612, CDS-1 Main Building, HKU-CDS Shanghai Teaching and Research Site, Shanghai
May 13 WED	6:30 pm - 8:30 pm		MEBS6000	Utility services	Rm 3 Library Ext.
May 14 THU	6:30 pm - 8:30 pm		CIVL7007	Building information modelling (BIM): Theories, development and application	Multi-purpose Zone, Level 3, Main Library
May 14 THU	6:30 pm - 8:30 pm		COMP7409	Machine learning in trading and finance	Loke Yew Hall
				Machine learning in trading and finance	Rm 710, CDS-1 Main Building, HKU-CDS Shanghai Teaching and Research Site, Shanghai
May 14 THU	6:30 pm - 8:30 pm		COMP7901	Legal protection of digital property	Loke Yew Hall
				Legal protection of digital property	Rm 167 Main Bldg.
