Faculty of Law Postgraduate Courses Examination                                  Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
Apr 25 SAT	9:30 am - 12:30 pm (For Full-time & Part-time Yr 2 Students)		PCLL8040	Professional practice and management	Loke Yew Hall
				Professional practice and management	Rm 105 Chong Yuet Ming Amenities Ctr.
May 2 SAT	9:30 am - 1:00 pm (Paper II) (For Part-time Yr 1 Students)		PCLL8020	Corporate and Commercial transactions	Loke Yew Hall
May 2 SAT	9:30 am - 1:30 pm (For Full-time & Part-time Yr 2 Students)		PCLL8108	China practice	Rm 105 Chong Yuet Ming Amenities Ctr.
May 4 MON	9:30 am - 1:00 pm (Paper III) (For Part-time Yr 1 Students)		PCLL8020	Corporate and Commercial transactions	Rm 105 Chong Yuet Ming Amenities Ctr.
May 4 MON	9:30 am - 1:10 pm (10 minutes' reading time included) (For Full-time & Part-time Yr 2 Students)		PCLL8112	Employment Law and Practice	Loke Yew Hall
May 5 TUE	9:30 am - 1:00 pm (Paper II) (For Full-time Students)		PCLL8105	Drafting Commercial Agreements	Rm 103 Main Bldg.
May 5 TUE	2:30 pm - 5:30 pm (For Full-time & Part-time Yr 2 Students)		PCLL8103	Matrimonial practice and procedure	Loke Yew Hall
May 5 TUE	2:30 pm - 5:30 pm (For Full-time & Part-time Yr 2 students)		PCLL8111	Financial Regulations and Practice	Rm 103 Main Bldg.
May 6 WED	9:30 am - 1:00 pm (For Full-time & Part-time Yr 2 Students)		PCLL8101	Commercial dispute resolution	Loke Yew Hall
May 7 THU	9:30 am - 1:30 pm (For Full-time & Part-time Yr 2 Students)		PCLL8102	Personal injury litigation	Rm 103 Main Bldg.
May 8 FRI	9:30 am - 12:30 pm (For Full-time & Part-time Yr 2 Students)		PCLL8107	Listed companies	Loke Yew Hall
May 8 FRI	9:30 am - 12:30 pm (For Full-time Students)		PCLL8113	Property Practice	Rm 103 Main Bldg.
May 9 SAT	9:30 am - 1:00 pm (Paper II) (For Part-time Yr 1 Students)		PCLL8030	Property transactions I	Loke Yew Hall
May 11 MON	9:30 am - 12:30 pm (No reading time included)		JDOC1004	Criminal law II	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 11 MON	9:30 am - 1:00 pm (For Full-time & Part-time Yr 2 Students)		PCLL8110	Use of Chinese in legal practice	Rm 217 Main Bldg.
May 12 TUE	9:30 am - 12:30 pm (For Full-time & Part-time Yr 2 Students)		PCLL8109	Wills, Trusts and Estate Planning	Rm 103 Main Bldg.
May 13 WED	2:30 pm - 4:30 pm (10 minutes' reading time included)		JDOC2004	Land law II	Loke Yew Hall
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		JDOC1002	Law of contract II	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		JDOC3097	Civil procedure	CPD-LG.63, Centennial Campus
May 15 FRI	6:30 pm - 8:45 pm (15 minutes' reading time included)		LLAW6227	Introduction to private international law (conflict of laws)	Rm 5 Library Ext.
May 15 FRI	6:30 pm - 8:45 pm (15 minutes' reading time included)		LLAW6258	Private law in common law jurisdictions	Rm 5 Library Ext.
May 16 SAT	9:30 am - 11:45 am (15 minutes' reading time included)		JDOC1010	Commercial law	Rm 201 Main Bldg.
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		JDOC1006	Law of tort II	CPD-LG.07-10, Centennial Campus
May 18 MON	6:30 pm - 9:30 pm (No reading time included)		JDOC6132	International and comparative intellectual property law	Rm 237 Main Bldg.
May 18 MON	6:30 pm - 9:30 pm (No reading time included)		LLAW6132	International and comparative intellectual property law	Rm 237 Main Bldg.
May 20 WED	9:30 am - 1:00 pm (30 minutes' reading time included)		JDOC3093	Administrative law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 20 WED	6:30 pm - 9:30 pm (No reading time included)		JDOC6181	Management and commercialization of intellectual property	Rm 256 Main Bldg.
May 20 WED	6:30 pm - 9:30 pm (No reading time included)		LLAW6181	Management and commercialization of intellectual property	Rm 256 Main Bldg.
May 21 THU	9:30 am - 12:30 pm (No reading time included)		JDOC2002	Equity and trusts II	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 23 SAT	2:30 pm - 5:30 pm (No reading time included)		LLAW6159	Evidence	Rm 256 Main Bldg.
May 23 SAT	6:30 pm - 9:45 pm (15 minutes' reading time included)		LLAW6341	Sports law	Rm 237 Main Bldg.
