LLB Examination                                                                  Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	9:30 am - 11:30 am		ECON1280	Analysis of economic data	CPD-LG.07-10, Centennial Campus
				Analysis of economic data	Multi-purpose Zone, Level 3, Main Library
May 11 MON	2:30 pm - 5:00 pm (30 minutes' reading time included)		LLAW2004	Criminal law II	Multi-purpose Zone, Level 3, Main Library
May 11 MON	6:30 pm - 8:30 pm		SOCI3021	Marriage and the family	Loke Yew Hall
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 11:30 am		FINA2320	Investments and portfolio analysis	CPD-LG.07-10, Centennial Campus
				Investments and portfolio analysis	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Investments and portfolio analysis	CPD-LG.63, Centennial Campus
May 12 TUE	9:30 am - 11:30 am		PHYS1240	Physics by inquiry	Rm 7 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1650	Nature of the universe	Rm 6 Library Ext.
May 12 TUE	2:30 pm - 5:30 pm		DASE2144	Fundamentals of robotics	Multi-purpose Zone, Level 3, Main Library
May 13 WED	9:30 am - 11:30 am		ECON1220	Introductory macroeconomics	CPD-LG.07-10, Centennial Campus
				Introductory macroeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory macroeconomics	Loke Yew Hall
				Introductory macroeconomics	Multi-purpose Zone, Level 3, Main Library
May 13 WED	9:30 am - 11:30 am		SOCI3105	Global Criminology	Rm 3 Library Ext.
May 13 WED	2:30 pm - 4:30 pm		ECON2220	Intermediate macroeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
May 13 WED	2:30 pm - 5:00 pm (30 minutes' reading time included)		LLAW1015	Criminal law II	CPD-LG.07-10, Centennial Campus
May 13 WED	2:30 pm - 4:30 pm (10 minutes' reading time included)		LLAW2019	Land law II	Loke Yew Hall
May 13 WED	6:30 pm - 9:30 pm (No reading time included)		LLAW3105	Land law III	Rm 103 Main Bldg.
				Land law III	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 4:30 pm		ECON3284	Causal Inference	Rm 237 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 14 THU	6:30 pm - 9:30 pm (15 minutes' reading time included)		LLAW3093	Administrative law	CPD-LG.07-10, Centennial Campus
				Administrative law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 15 FRI	9:30 am - 11:30 am		GEOG1016	Nature conservation for sustainable societies	Multi-purpose Zone, Level 3, Main Library
				Nature conservation for sustainable societies	Rm 2 Library Ext.
				Nature conservation for sustainable societies	Rm 3 Library Ext.
				Nature conservation for sustainable societies	Rm 4 Library Ext.
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		LLAW1002	Law of contract II	CPD-LG.07-10, Centennial Campus
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		LLAW3097	Civil procedure	CPD-LG.63, Centennial Campus
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 15 FRI	6:30 pm - 8:45 pm (15 minutes' reading time included)		LLAW3030	Introduction to private international law (conflict of laws)	Rm 5 Library Ext.
May 16 SAT	2:30 pm - 4:30 pm		CHIN1126	Introduction to classical Chinese popular literature	Rm 5 Library Ext.
May 16 SAT	2:30 pm - 4:30 pm		GEOG2128	Economic geography	Rm 2 Library Ext.
May 16 SAT	2:30 pm - 4:15 pm (15 minutes' reading time included)		LLAW3095	Equity and trusts II	Multi-purpose Zone, Level 3, Main Library
May 18 MON	9:30 am - 12:00 noon		MATH1009	Basic mathematics for business and economics	Loke Yew Hall
May 18 MON	9:30 am - 12:00 noon		MATH2014	Multivariable calculus and linear algebra	CPD-LG.07-10, Centennial Campus
				Multivariable calculus and linear algebra	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 18 MON	9:30 am - 11:30 am		SOCI2071	Criminology	Rm 8 Library Ext.
				Criminology	Rm 9 Library Ext.
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW1006	Law of tort II	CPD-LG.07-10, Centennial Campus
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW3102	Evidence I	Rm 217 Main Bldg.
				Evidence I	Rm 218 Main Bldg.
May 19 TUE	9:30 am - 11:30 am		CHIN1107	Creative writing	Rm 217 Main Bldg.
May 19 TUE	9:30 am - 11:30 am		COMP3361	Natural Language Processing	Rm 7 Library Ext.
				Natural Language Processing	Rm 8 Library Ext.
May 19 TUE	9:30 am - 11:00 am		IIMT2601	Management information systems	Rm 105 Chong Yuet Ming Amenities Ctr.
				Management information systems	Rm 302 Chong Yuet Ming Amenities Ctr.
May 19 TUE	9:30 am - 11:30 am		SOCI3011	Gender and crime	Rm 218 Main Bldg.
May 19 TUE	2:30 pm - 4:00 pm		GEOG1020	Modern Maps in the Age of Big Data	Multi-purpose Zone, Level 3, Main Library
				Modern Maps in the Age of Big Data	Rm 2 Library Ext.
				Modern Maps in the Age of Big Data	Rm 3 Library Ext.
May 19 TUE	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW3043	Principles of family law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 19 TUE	2:30 pm - 4:30 pm		PHYS2650	Modern astronomy	Rm 9 Library Ext.
May 19 TUE	2:30 pm - 4:30 pm		SOCI2080	Media and culture in modern societies	Rm 105 Chong Yuet Ming Amenities Ctr.
May 19 TUE	2:30 pm - 4:30 pm		SOCI3056	Criminal justice: policy and practice	Rm 302 Chong Yuet Ming Amenities Ctr.
May 20 WED	9:30 am - 11:30 am		CHIN1103	Introduction to standard works in modern Chinese literature	Rm 103 Main Bldg.
				Introduction to standard works in modern Chinese literature	Rm 167 Main Bldg.
May 20 WED	2:30 pm - 4:30 pm		COMP1117	Computer programming	Loke Yew Hall
				Computer programming	Rm 103 Main Bldg.
				Computer programming	Rm 167 Main Bldg.
May 20 WED	2:30 pm - 4:30 pm		POLI2106	Introduction to international relations	Rm 2 Library Ext.
				Introduction to international relations	Rm 3 Library Ext.
May 20 WED	6:30 pm - 8:30 pm		CCHU9068	Shaping our World: Liberalism, Socialism and Nationalism	Rm 103 Main Bldg.
May 21 THU	9:30 am - 11:30 am		CCCH9002	Chinese Cities in the 21st Century	Rm 103 Main Bldg.
May 21 THU	9:30 am - 12:45 pm (15 minutes' reading time included)		LLAW3010	Business associations	Multi-purpose Zone, Level 3, Main Library
May 21 THU	2:30 pm - 4:30 pm		ACCT2102	Intermediate financial accounting I	Rm 105 Chong Yuet Ming Amenities Ctr.
May 22 FRI	9:30 am - 11:30 am		ACCT2105	Introduction to management accounting	Rm 105 Chong Yuet Ming Amenities Ctr.
May 22 FRI	9:30 am - 12:00 pm (15 minutes' reading time included)		LLAW2009	Introduction to Chinese legal system	Multi-purpose Zone, Level 3, Main Library
