MBBS Examination                                                                 Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 12 TUE	9:30 am - 11:00 am		ECON1210	Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 302 Chong Yuet Ming Amenities Ctr.
				Introductory microeconomics	Rm 5 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1150	Problem solving in physics	Rm 7 Library Ext.
May 12 TUE	9:30 am - 11:30 am		PHYS1650	Nature of the universe	Rm 6 Library Ext.
May 12 TUE	2:30 pm - 5:00 pm		BBMS2003	Human and Clinical Genetics	Rm 6 Library Ext.
				Human and Clinical Genetics	Rm 7 Library Ext.
May 13 WED	9:30 am - 11:30 am		ECON1220	Introductory macroeconomics	CPD-LG.07-10, Centennial Campus
				Introductory macroeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory macroeconomics	Loke Yew Hall
				Introductory macroeconomics	Multi-purpose Zone, Level 3, Main Library
May 14 THU	2:30 pm - 4:00 pm		BIOF2001	Artificial Intelligence in Medicine	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 14 THU	2:30 pm - 5:00 pm		MATH7505	Real analysis	Rm 8 Library Ext.
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 15 FRI	6:30 pm - 8:30 pm		CCCH9028	Hong Kong and China's Economic Development	Rm 105 Chong Yuet Ming Amenities Ctr.
May 16 SAT	9:30 am - 11:30 am		COMP2501	Introduction to data science	Multi-purpose Zone, Level 3, Main Library
May 18 MON	9:30 am - 12:00 noon		MATH4602	Scientific computing	Rm 167 Main Bldg.
May 18 MON	2:30 pm - 5:00 pm		MATH3901	Operations research I	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 19 TUE	9:30 am - 11:30 am		CHIN1107	Creative writing	Rm 217 Main Bldg.
May 19 TUE	9:30 am - 12:30 pm		ENGG1310	Electricity and electronics	Loke Yew Hall
				Electricity and electronics	Rm 103 Main Bldg.
May 20 WED	9:30 am - 11:30 am		CHIN1103	Introduction to standard works in modern Chinese literature	Rm 103 Main Bldg.
				Introduction to standard works in modern Chinese literature	Rm 167 Main Bldg.
May 20 WED	9:30 am - 11:30 am		COMP3340	Introduction to deep learning	Multi-purpose Zone, Level 3, Main Library
May 20 WED	2:30 pm - 4:30 pm		COMP1117	Computer programming	Loke Yew Hall
				Computer programming	Rm 103 Main Bldg.
				Computer programming	Rm 167 Main Bldg.
May 20 WED	2:30 pm - 4:30 pm		COMP2113	Programming technologies	CPD-LG.07-10, Centennial Campus
				Programming technologies	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Programming technologies	CPD-LG.63, Centennial Campus
				Programming technologies	Multi-purpose Zone, Level 3, Main Library
May 20 WED	6:30 pm - 8:30 pm		CCHU9068	Shaping our World: Liberalism, Socialism and Nationalism	Rm 103 Main Bldg.
May 21 THU	2:30 pm - 5:00 pm		COMP3314	Introduction to machine learning	Multi-purpose Zone, Level 3, Main Library
May 21 THU	2:30 pm - 4:00 pm		GEOG1021	Geographic issues of Polar Regions	Rm 217 Main Bldg.
				Geographic issues of Polar Regions	Rm 218 Main Bldg.
May 22 FRI	9:30 am - 12:00 noon		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
May 22 FRI	2:30 pm - 4:30 pm		GEOG2055	Water resources and management	CPD-LG.07-10, Centennial Campus
May 22 FRI	2:30 pm - 4:30 pm		PHYS1250	Fundamental physics	Rm 8 Library Ext.
May 23 SAT	9:30 am - 11:30 am		CCST9012	Our Place in the Universe	Loke Yew Hall
May 23 SAT	2:30 pm - 5:00 pm		MATH2211	Multivariable calculus	Loke Yew Hall
May 23 SAT	2:30 pm - 4:30 pm		PSYC1001	Introduction to psychology	Multi-purpose Zone, Level 3, Main Library
May 23 SAT	6:30 pm - 8:30 pm		ECON2280	Introductory econometrics	CPD-LG.07-10, Centennial Campus
May 26 TUE	9:30 am - 11:00 am		ECON2210	Intermediate microeconomics	Multi-purpose Zone, Level 3, Main Library
May 26 TUE	6:30 pm - 9:00 pm		MATH2101	Linear algebra I	CPD-LG.07-10, Centennial Campus
